start,end,speaker
1.299,2.402,SPEAKER_00
3.048,3.183,SPEAKER_00
3.489,3.727,SPEAKER_00
4.236,7.275,SPEAKER_00
7.937,8.497,SPEAKER_00
9.109,12.895,SPEAKER_00
13.778,15.951,SPEAKER_00
16.545,18.260,SPEAKER_00
18.260,18.277,SPEAKER_01
18.480,19.007,SPEAKER_00
19.007,19.126,SPEAKER_01
19.126,20.025,SPEAKER_00
21.231,21.537,SPEAKER_00
22.385,23.812,SPEAKER_00
24.134,26.698,SPEAKER_00
27.326,28.396,SPEAKER_00
28.633,29.194,SPEAKER_00
29.805,30.722,SPEAKER_00
31.231,34.610,SPEAKER_00
35.543,39.839,SPEAKER_01
39.448,39.550,SPEAKER_00
40.348,41.095,SPEAKER_01
41.570,45.458,SPEAKER_01
46.138,46.579,SPEAKER_01
46.935,48.226,SPEAKER_01
48.480,50.178,SPEAKER_01
50.840,52.436,SPEAKER_01
52.946,54.355,SPEAKER_01
54.610,55.475,SPEAKER_01
56.171,56.783,SPEAKER_01
57.241,57.886,SPEAKER_01
58.090,59.414,SPEAKER_01
60.178,60.535,SPEAKER_01
60.993,63.964,SPEAKER_01
64.304,64.321,SPEAKER_00
64.321,64.660,SPEAKER_01
65.136,65.153,SPEAKER_00
65.153,65.764,SPEAKER_01
65.204,65.730,SPEAKER_00
65.764,65.883,SPEAKER_00
65.883,65.917,SPEAKER_01
65.917,65.934,SPEAKER_00
65.934,66.002,SPEAKER_01
66.290,66.324,SPEAKER_00
66.324,66.494,SPEAKER_01
66.494,66.528,SPEAKER_00
66.528,67.207,SPEAKER_01
67.207,67.411,SPEAKER_00
68.531,70.976,SPEAKER_00
71.774,71.995,SPEAKER_00
71.995,73.014,SPEAKER_01
73.014,73.438,SPEAKER_00
74.117,74.134,SPEAKER_01
74.134,74.219,SPEAKER_00
74.219,74.610,SPEAKER_01
74.610,74.745,SPEAKER_00
74.745,74.983,SPEAKER_01
74.983,75.017,SPEAKER_00
75.017,75.034,SPEAKER_01
75.034,75.051,SPEAKER_00
75.323,75.340,SPEAKER_00
75.340,76.002,SPEAKER_01
76.002,76.273,SPEAKER_00
76.613,79.414,SPEAKER_00
79.414,79.431,SPEAKER_01
80.433,82.657,SPEAKER_01
82.844,86.630,SPEAKER_01
87.139,87.615,SPEAKER_01
87.784,88.447,SPEAKER_01
88.922,90.008,SPEAKER_01
90.433,90.467,SPEAKER_01
91.503,91.910,SPEAKER_01
92.284,92.487,SPEAKER_01
92.487,92.657,SPEAKER_00
92.657,92.708,SPEAKER_01
93.183,93.234,SPEAKER_01
93.234,93.812,SPEAKER_00
93.812,93.829,SPEAKER_01
94.117,95.017,SPEAKER_00
95.492,97.326,SPEAKER_00
98.209,99.533,SPEAKER_00
100.382,101.486,SPEAKER_01
102.199,103.523,SPEAKER_01
103.523,103.591,SPEAKER_00
103.591,103.727,SPEAKER_01
104.032,104.440,SPEAKER_01
105.390,105.543,SPEAKER_00
105.543,105.662,SPEAKER_01
105.662,105.679,SPEAKER_00
106.053,107.801,SPEAKER_00
109.007,111.384,SPEAKER_01
111.893,112.963,SPEAKER_01
113.964,114.389,SPEAKER_01
114.593,116.104,SPEAKER_01
117.581,118.005,SPEAKER_00
118.005,118.141,SPEAKER_01
118.735,119.856,SPEAKER_00
119.992,127.852,SPEAKER_00
128.531,131.248,SPEAKER_01
132.250,135.357,SPEAKER_01
136.087,136.885,SPEAKER_01
137.258,139.669,SPEAKER_01
140.620,142.470,SPEAKER_01
143.557,144.083,SPEAKER_00
144.304,145.034,SPEAKER_00
145.187,145.679,SPEAKER_00
146.171,153.065,SPEAKER_00
153.862,155.985,SPEAKER_01
157.088,157.479,SPEAKER_00
157.615,159.805,SPEAKER_00
160.263,160.399,SPEAKER_00
160.857,161.587,SPEAKER_00
162.301,162.317,SPEAKER_00
162.317,162.963,SPEAKER_01
163.098,164.100,SPEAKER_01
164.151,165.000,SPEAKER_00
165.611,165.883,SPEAKER_00
166.698,169.041,SPEAKER_00
169.873,170.840,SPEAKER_00
171.299,172.216,SPEAKER_00
172.470,173.065,SPEAKER_00
173.540,173.846,SPEAKER_00
173.998,175.917,SPEAKER_00
177.173,177.920,SPEAKER_01
179.143,180.976,SPEAKER_01
181.333,183.285,SPEAKER_01
183.744,184.559,SPEAKER_01
184.966,185.560,SPEAKER_01
185.034,185.458,SPEAKER_00
185.747,185.968,SPEAKER_01
186.426,188.735,SPEAKER_01
186.460,186.783,SPEAKER_00
189.160,189.669,SPEAKER_01
190.280,190.722,SPEAKER_01
190.433,190.586,SPEAKER_00
190.993,192.657,SPEAKER_00
193.523,193.930,SPEAKER_00
193.930,193.964,SPEAKER_01
194.338,195.085,SPEAKER_00
195.085,195.102,SPEAKER_01
195.543,195.849,SPEAKER_00
196.222,197.054,SPEAKER_00
197.428,200.280,SPEAKER_00
201.044,201.452,SPEAKER_00
202.182,202.708,SPEAKER_00
203.065,204.626,SPEAKER_00
205.272,206.477,SPEAKER_00
206.766,208.005,SPEAKER_00
208.005,210.144,SPEAKER_01
210.671,211.587,SPEAKER_01
212.267,212.827,SPEAKER_01
213.710,214.440,SPEAKER_01
215.051,215.458,SPEAKER_01
215.781,215.798,SPEAKER_00
215.798,216.002,SPEAKER_01
216.002,216.358,SPEAKER_00
216.630,220.467,SPEAKER_00
217.615,218.480,SPEAKER_01
220.789,221.146,SPEAKER_00
221.384,222.182,SPEAKER_00
222.419,222.912,SPEAKER_00
223.472,226.121,SPEAKER_00
226.579,227.207,SPEAKER_00
229.228,230.620,SPEAKER_00
233.234,239.669,SPEAKER_00
240.127,244.949,SPEAKER_00
245.543,249.007,SPEAKER_00
249.754,254.100,SPEAKER_00
255.577,256.290,SPEAKER_01
256.290,256.511,SPEAKER_00
256.902,258.022,SPEAKER_00
258.752,259.126,SPEAKER_00
259.397,260.263,SPEAKER_00
260.637,262.844,SPEAKER_00
263.081,264.406,SPEAKER_00
264.576,265.577,SPEAKER_00
267.258,269.397,SPEAKER_01
270.433,271.333,SPEAKER_01
271.503,273.115,SPEAKER_01
273.761,274.660,SPEAKER_01
275.085,275.102,SPEAKER_00
275.102,276.138,SPEAKER_01
276.138,276.154,SPEAKER_00
277.275,277.598,SPEAKER_00
278.209,278.701,SPEAKER_00
279.109,279.414,SPEAKER_00
279.839,280.025,SPEAKER_00
280.263,285.424,SPEAKER_00
286.630,286.647,SPEAKER_00
286.647,287.003,SPEAKER_01
287.003,287.886,SPEAKER_00
287.886,287.903,SPEAKER_01
288.447,289.346,SPEAKER_00
289.839,291.927,SPEAKER_00
289.958,290.518,SPEAKER_01
293.065,293.302,SPEAKER_00
293.778,294.593,SPEAKER_00
296.358,297.581,SPEAKER_00
298.718,301.367,SPEAKER_00
301.706,301.995,SPEAKER_00
302.334,303.149,SPEAKER_00
303.523,304.083,SPEAKER_00
304.660,306.002,SPEAKER_00
306.511,309.992,SPEAKER_00
310.144,313.302,SPEAKER_00
313.896,314.287,SPEAKER_00
314.576,318.497,SPEAKER_00
319.329,324.626,SPEAKER_00
325.170,328.633,SPEAKER_00
329.194,329.363,SPEAKER_00
329.601,330.671,SPEAKER_00
330.874,335.900,SPEAKER_00
336.460,340.840,SPEAKER_00
341.553,343.964,SPEAKER_00
344.576,348.514,SPEAKER_00
349.075,354.406,SPEAKER_00
354.898,355.119,SPEAKER_00
355.543,356.087,SPEAKER_00
357.598,368.939,SPEAKER_00
369.244,373.947,SPEAKER_00
374.474,374.881,SPEAKER_00
375.340,377.003,SPEAKER_00
377.309,379.143,SPEAKER_00
379.584,380.908,SPEAKER_00
381.129,382.793,SPEAKER_00
383.659,384.287,SPEAKER_00
384.711,386.256,SPEAKER_00
386.528,387.767,SPEAKER_00
387.971,389.329,SPEAKER_00
389.805,392.674,SPEAKER_00
394.134,396.188,SPEAKER_00
396.834,402.487,SPEAKER_00
