start,end,speaker
1.146,7.003,SPEAKER_01
1.672,2.182,SPEAKER_00
7.003,7.122,SPEAKER_00
7.122,7.190,SPEAKER_01
9.771,11.978,SPEAKER_01
11.995,12.097,SPEAKER_01
12.623,24.372,SPEAKER_00
23.081,23.166,SPEAKER_01
29.873,30.382,SPEAKER_01
32.216,35.934,SPEAKER_01
36.545,67.326,SPEAKER_00
48.480,48.701,SPEAKER_01
51.265,51.537,SPEAKER_01
65.509,65.628,SPEAKER_01
67.326,70.739,SPEAKER_01
70.739,71.486,SPEAKER_00
71.282,71.299,SPEAKER_01
71.333,73.778,SPEAKER_01
74.983,84.134,SPEAKER_01
84.593,92.487,SPEAKER_00
93.353,96.019,SPEAKER_01
96.104,96.426,SPEAKER_01
96.426,96.630,SPEAKER_00
96.630,96.698,SPEAKER_01
97.428,109.211,SPEAKER_01
106.494,106.732,SPEAKER_00
108.973,110.450,SPEAKER_00
109.737,111.995,SPEAKER_01
111.995,113.387,SPEAKER_00
113.659,124.406,SPEAKER_00
117.275,117.615,SPEAKER_01
124.406,133.591,SPEAKER_01
126.138,126.681,SPEAKER_00
127.954,128.277,SPEAKER_00
133.608,133.744,SPEAKER_01
134.032,136.562,SPEAKER_01
137.003,141.299,SPEAKER_01
138.430,138.531,SPEAKER_00
143.285,146.545,SPEAKER_01
147.088,150.518,SPEAKER_01
150.908,151.503,SPEAKER_00
151.503,152.114,SPEAKER_01
152.114,158.005,SPEAKER_00
152.199,153.014,SPEAKER_01
154.643,155.000,SPEAKER_01
157.530,157.869,SPEAKER_01
158.158,158.362,SPEAKER_00
159.431,160.722,SPEAKER_00
159.465,159.482,SPEAKER_01
159.499,160.637,SPEAKER_01
160.722,160.942,SPEAKER_01
160.993,161.010,SPEAKER_01
161.248,161.265,SPEAKER_01
162.012,165.323,SPEAKER_01
166.053,167.343,SPEAKER_00
168.548,170.025,SPEAKER_00
170.789,175.560,SPEAKER_00
172.419,172.674,SPEAKER_01
176.205,178.922,SPEAKER_00
178.922,178.990,SPEAKER_01
178.990,179.007,SPEAKER_00
179.007,179.482,SPEAKER_01
179.482,180.025,SPEAKER_00
180.789,190.993,SPEAKER_00
190.993,191.163,SPEAKER_01
191.401,196.562,SPEAKER_01
197.818,199.007,SPEAKER_00
200.416,207.309,SPEAKER_00
207.309,207.598,SPEAKER_01
208.090,208.888,SPEAKER_01
209.380,222.233,SPEAKER_01
220.161,220.891,SPEAKER_00
222.793,229.346,SPEAKER_01
229.346,229.380,SPEAKER_00
229.941,229.975,SPEAKER_00
229.975,229.992,SPEAKER_01
229.992,238.480,SPEAKER_00
240.161,242.233,SPEAKER_00
243.014,243.048,SPEAKER_00
243.048,243.081,SPEAKER_01
243.081,243.200,SPEAKER_00
243.200,245.968,SPEAKER_01
247.139,253.540,SPEAKER_01
253.540,253.795,SPEAKER_00
253.981,253.998,SPEAKER_00
253.998,254.117,SPEAKER_01
254.338,254.389,SPEAKER_00
254.389,257.920,SPEAKER_01
258.430,261.299,SPEAKER_01
261.706,266.358,SPEAKER_01
264.474,264.830,SPEAKER_00
266.409,267.173,SPEAKER_01
267.173,270.212,SPEAKER_00
270.874,271.995,SPEAKER_01
271.995,273.031,SPEAKER_00
273.625,273.676,SPEAKER_00
273.676,273.829,SPEAKER_01
273.829,273.981,SPEAKER_00
275.577,277.496,SPEAKER_01
277.750,278.073,SPEAKER_01
278.294,281.248,SPEAKER_01
282.878,282.963,SPEAKER_00
282.963,283.048,SPEAKER_01
283.048,286.613,SPEAKER_00
286.885,287.003,SPEAKER_00
287.003,289.720,SPEAKER_01
287.954,288.158,SPEAKER_00
289.771,292.793,SPEAKER_01
292.963,293.183,SPEAKER_00
293.795,304.355,SPEAKER_01
303.404,303.540,SPEAKER_00
304.355,304.372,SPEAKER_00
304.474,305.968,SPEAKER_00
304.626,304.796,SPEAKER_01
305.968,305.985,SPEAKER_01
305.985,306.036,SPEAKER_00
307.360,307.767,SPEAKER_00
307.767,308.277,SPEAKER_01
307.784,311.791,SPEAKER_00
313.200,313.251,SPEAKER_00
313.251,313.574,SPEAKER_01
313.574,313.642,SPEAKER_00
313.642,313.930,SPEAKER_01
313.693,314.406,SPEAKER_00
314.406,315.238,SPEAKER_01
315.849,316.290,SPEAKER_00
317.479,318.175,SPEAKER_00
319.652,321.112,SPEAKER_00
326.239,351.706,SPEAKER_01
354.966,361.893,SPEAKER_01
361.893,362.317,SPEAKER_00
362.912,365.917,SPEAKER_01
367.054,367.377,SPEAKER_01
369.160,401.367,SPEAKER_01
401.961,404.049,SPEAKER_01
404.932,418.175,SPEAKER_01
407.903,409.109,SPEAKER_00
419.686,421.350,SPEAKER_01
421.435,424.151,SPEAKER_01
424.474,428.735,SPEAKER_01
425.000,426.868,SPEAKER_00
429.143,429.346,SPEAKER_01
429.363,450.586,SPEAKER_01
437.343,438.582,SPEAKER_00
449.788,449.941,SPEAKER_00
449.958,449.992,SPEAKER_00
450.976,457.666,SPEAKER_01
452.929,453.829,SPEAKER_00
458.005,490.586,SPEAKER_01
463.048,463.506,SPEAKER_00
471.265,471.520,SPEAKER_00
490.993,492.844,SPEAKER_01
493.574,511.995,SPEAKER_01
512.233,516.664,SPEAKER_01
517.190,532.997,SPEAKER_00
519.143,519.839,SPEAKER_01
532.997,537.241,SPEAKER_01
538.769,539.431,SPEAKER_01
539.669,561.689,SPEAKER_01
557.360,558.243,SPEAKER_00
559.109,559.244,SPEAKER_00
562.538,574.219,SPEAKER_01
564.525,565.357,SPEAKER_00
574.406,578.447,SPEAKER_01
574.457,575.374,SPEAKER_00
575.730,576.290,SPEAKER_00
578.752,582.385,SPEAKER_01
583.540,596.902,SPEAKER_01
586.732,587.037,SPEAKER_00
587.699,587.767,SPEAKER_00
