start,end,speaker
2.334,2.810,SPEAKER_01
3.166,3.557,SPEAKER_00
3.710,5.509,SPEAKER_00
4.881,5.170,SPEAKER_01
5.815,10.059,SPEAKER_01
12.131,13.625,SPEAKER_00
14.813,19.312,SPEAKER_00
19.652,20.484,SPEAKER_01
20.025,21.570,SPEAKER_00
21.893,23.574,SPEAKER_00
24.032,27.852,SPEAKER_01
29.448,30.722,SPEAKER_00
31.197,34.711,SPEAKER_01
36.969,36.986,SPEAKER_00
37.003,37.071,SPEAKER_00
37.733,39.092,SPEAKER_00
39.312,41.452,SPEAKER_00
41.876,45.458,SPEAKER_01
47.666,52.640,SPEAKER_00
52.878,55.781,SPEAKER_01
57.122,57.190,SPEAKER_00
58.039,58.939,SPEAKER_00
59.703,61.995,SPEAKER_00
62.317,62.810,SPEAKER_00
63.285,64.830,SPEAKER_00
65.272,66.511,SPEAKER_00
66.851,66.868,SPEAKER_00
66.919,70.314,SPEAKER_00
68.616,68.990,SPEAKER_01
70.382,72.572,SPEAKER_01
73.591,73.896,SPEAKER_00
74.083,74.643,SPEAKER_01
74.898,77.530,SPEAKER_01
79.601,82.521,SPEAKER_00
83.370,86.783,SPEAKER_00
86.138,86.545,SPEAKER_01
87.360,90.569,SPEAKER_00
90.806,91.129,SPEAKER_00
91.265,92.148,SPEAKER_01
92.606,99.058,SPEAKER_01
99.431,104.745,SPEAKER_00
104.745,108.871,SPEAKER_01
109.041,110.518,SPEAKER_00
110.654,110.993,SPEAKER_01
110.993,111.452,SPEAKER_00
111.520,113.217,SPEAKER_00
113.387,113.862,SPEAKER_01
113.947,116.664,SPEAKER_01
117.088,117.564,SPEAKER_00
117.683,128.463,SPEAKER_00
128.990,132.233,SPEAKER_00
132.742,136.868,SPEAKER_00
137.767,139.482,SPEAKER_00
139.482,140.025,SPEAKER_01
140.467,140.484,SPEAKER_00
140.569,143.014,SPEAKER_00
143.812,148.277,SPEAKER_01
148.820,150.586,SPEAKER_00
151.520,156.070,SPEAKER_01
156.681,163.404,SPEAKER_00
163.625,172.793,SPEAKER_01
173.472,176.749,SPEAKER_00
177.003,177.869,SPEAKER_01
178.005,179.295,SPEAKER_01
180.552,185.000,SPEAKER_00
185.645,189.703,SPEAKER_01
190.059,195.085,SPEAKER_01
195.424,196.104,SPEAKER_01
196.205,199.771,SPEAKER_01
200.654,205.594,SPEAKER_00
205.781,206.766,SPEAKER_00
207.037,211.180,SPEAKER_00
211.520,212.131,SPEAKER_01
212.402,214.066,SPEAKER_01
214.576,215.849,SPEAKER_00
216.053,217.513,SPEAKER_01
218.362,220.688,SPEAKER_01
221.587,225.136,SPEAKER_00
225.662,227.037,SPEAKER_01
227.292,228.752,SPEAKER_01
230.603,231.265,SPEAKER_00
231.638,232.759,SPEAKER_01
233.846,236.952,SPEAKER_00
237.173,238.294,SPEAKER_00
238.616,239.924,SPEAKER_01
240.110,246.952,SPEAKER_01
246.732,247.037,SPEAKER_00
248.192,254.117,SPEAKER_00
254.796,258.633,SPEAKER_00
258.447,258.599,SPEAKER_01
258.633,258.752,SPEAKER_01
258.752,258.769,SPEAKER_00
259.126,261.282,SPEAKER_01
261.418,265.475,SPEAKER_01
266.188,269.211,SPEAKER_01
269.346,272.861,SPEAKER_01
273.166,278.005,SPEAKER_01
278.430,280.399,SPEAKER_01
280.739,285.985,SPEAKER_01
286.171,290.314,SPEAKER_01
290.739,292.878,SPEAKER_00
292.504,297.122,SPEAKER_01
297.920,301.740,SPEAKER_00
302.012,304.151,SPEAKER_01
304.643,309.194,SPEAKER_01
310.195,315.628,SPEAKER_00
313.761,314.253,SPEAKER_01
316.460,323.285,SPEAKER_00
323.285,324.864,SPEAKER_01
325.221,327.852,SPEAKER_01
328.854,331.214,SPEAKER_00
331.214,333.574,SPEAKER_01
335.323,340.993,SPEAKER_01
341.163,344.032,SPEAKER_01
344.728,346.647,SPEAKER_00
346.783,351.995,SPEAKER_01
352.980,353.710,SPEAKER_00
354.219,358.973,SPEAKER_00
359.941,361.112,SPEAKER_01
361.638,363.744,SPEAKER_01
365.085,367.054,SPEAKER_00
367.292,368.226,SPEAKER_01
369.618,371.672,SPEAKER_00
371.689,373.846,SPEAKER_01
376.460,378.905,SPEAKER_01
380.025,380.246,SPEAKER_00
380.586,382.674,SPEAKER_01
384.355,386.477,SPEAKER_00
386.783,388.022,SPEAKER_00
388.684,389.312,SPEAKER_00
389.584,390.365,SPEAKER_01
390.535,391.180,SPEAKER_00
391.520,392.267,SPEAKER_00
392.368,392.827,SPEAKER_01
392.997,407.309,SPEAKER_01
407.377,409.346,SPEAKER_01
409.041,414.576,SPEAKER_00
414.677,415.424,SPEAKER_00
414.779,415.085,SPEAKER_01
415.424,416.579,SPEAKER_01
416.952,420.076,SPEAKER_01
421.418,422.284,SPEAKER_00
422.555,425.917,SPEAKER_01
426.392,426.613,SPEAKER_00
427.241,427.292,SPEAKER_00
427.716,430.484,SPEAKER_01
432.046,441.995,SPEAKER_01
442.114,444.032,SPEAKER_01
444.593,449.516,SPEAKER_01
449.941,470.416,SPEAKER_01
471.842,492.725,SPEAKER_01
493.268,497.241,SPEAKER_00
497.428,500.450,SPEAKER_01
501.180,503.115,SPEAKER_01
503.370,509.465,SPEAKER_01
509.941,510.433,SPEAKER_01
510.518,515.611,SPEAKER_01
515.934,517.343,SPEAKER_01
518.209,518.650,SPEAKER_01
519.058,521.689,SPEAKER_01
522.284,525.866,SPEAKER_01
526.460,529.805,SPEAKER_01
530.467,532.284,SPEAKER_00
532.827,533.285,SPEAKER_01
533.693,552.368,SPEAKER_01
552.742,553.014,SPEAKER_00
553.947,559.177,SPEAKER_00
556.273,556.477,SPEAKER_01
559.177,560.569,SPEAKER_01
560.772,563.489,SPEAKER_01
563.659,568.124,SPEAKER_01
568.854,568.973,SPEAKER_01
568.973,570.365,SPEAKER_00
569.295,569.873,SPEAKER_01
570.365,571.282,SPEAKER_01
571.927,572.980,SPEAKER_00
573.166,574.253,SPEAKER_01
574.474,576.783,SPEAKER_00
574.932,575.543,SPEAKER_01
