start,end,speaker
1.282,5.374,SPEAKER_01
7.547,11.333,SPEAKER_01
16.138,29.126,SPEAKER_01
29.160,30.840,SPEAKER_01
31.197,35.238,SPEAKER_01
35.390,38.871,SPEAKER_01
39.992,55.136,SPEAKER_01
41.520,41.995,SPEAKER_00
56.732,56.969,SPEAKER_01
57.275,59.278,SPEAKER_01
61.469,63.981,SPEAKER_01
64.660,65.662,SPEAKER_01
65.815,66.935,SPEAKER_01
68.209,71.570,SPEAKER_01
71.825,72.419,SPEAKER_01
72.878,74.100,SPEAKER_01
75.068,75.492,SPEAKER_01
76.919,83.846,SPEAKER_01
84.474,85.136,SPEAKER_01
85.849,87.190,SPEAKER_01
87.869,88.684,SPEAKER_01
89.126,90.297,SPEAKER_01
90.976,91.723,SPEAKER_01
93.523,98.260,SPEAKER_01
100.976,101.553,SPEAKER_01
102.606,106.528,SPEAKER_01
106.986,108.209,SPEAKER_01
108.701,109.414,SPEAKER_01
109.822,114.168,SPEAKER_01
114.491,122.521,SPEAKER_01
122.725,126.834,SPEAKER_01
127.971,128.447,SPEAKER_01
128.769,131.367,SPEAKER_01
131.978,139.788,SPEAKER_01
141.944,144.236,SPEAKER_01
145.390,145.696,SPEAKER_01
146.273,149.295,SPEAKER_01
150.705,153.353,SPEAKER_01
153.625,153.761,SPEAKER_01
154.253,157.920,SPEAKER_01
159.737,160.925,SPEAKER_01
161.961,163.795,SPEAKER_01
165.374,165.594,SPEAKER_01
165.934,175.526,SPEAKER_01
176.562,181.350,SPEAKER_01
182.674,183.285,SPEAKER_01
184.593,185.017,SPEAKER_01
186.205,190.671,SPEAKER_01
192.012,193.387,SPEAKER_01
193.744,195.730,SPEAKER_01
196.205,196.766,SPEAKER_01
197.547,197.988,SPEAKER_01
198.379,198.922,SPEAKER_01
199.160,200.688,SPEAKER_01
201.265,202.674,SPEAKER_01
204.389,207.649,SPEAKER_01
208.124,209.312,SPEAKER_01
209.669,214.966,SPEAKER_01
215.255,215.747,SPEAKER_01
216.222,217.003,SPEAKER_01
217.292,217.632,SPEAKER_01
217.733,223.557,SPEAKER_01
223.795,224.694,SPEAKER_01
226.087,229.839,SPEAKER_01
230.365,232.436,SPEAKER_01
233.132,236.138,SPEAKER_01
236.817,237.428,SPEAKER_01
237.767,241.570,SPEAKER_01
242.334,243.217,SPEAKER_01
243.998,246.324,SPEAKER_01
247.020,249.295,SPEAKER_01
251.689,254.185,SPEAKER_01
254.779,256.002,SPEAKER_01
257.767,259.499,SPEAKER_01
260.195,261.587,SPEAKER_01
261.706,263.761,SPEAKER_01
264.185,266.630,SPEAKER_01
268.243,268.260,SPEAKER_01
268.260,272.878,SPEAKER_00
273.404,274.525,SPEAKER_00
276.053,278.260,SPEAKER_00
278.837,280.637,SPEAKER_00
282.691,282.725,SPEAKER_01
282.725,282.793,SPEAKER_00
282.793,283.947,SPEAKER_01
284.474,284.949,SPEAKER_01
285.509,288.888,SPEAKER_01
290.586,292.165,SPEAKER_01
292.385,301.316,SPEAKER_01
301.655,332.063,SPEAKER_01
333.761,335.577,SPEAKER_01
335.985,336.409,SPEAKER_01
337.003,338.328,SPEAKER_01
339.143,344.389,SPEAKER_01
346.019,346.087,SPEAKER_00
346.087,346.154,SPEAKER_01
346.154,346.545,SPEAKER_00
346.545,348.803,SPEAKER_01
349.160,353.031,SPEAKER_01
354.185,354.440,SPEAKER_01
354.677,357.750,SPEAKER_01
358.413,363.676,SPEAKER_01
363.998,374.389,SPEAKER_01
374.677,385.102,SPEAKER_01
385.543,386.307,SPEAKER_01
386.664,387.445,SPEAKER_01
388.379,389.941,SPEAKER_01
390.212,395.374,SPEAKER_01
396.460,405.407,SPEAKER_01
406.002,406.036,SPEAKER_01
406.070,408.005,SPEAKER_01
408.005,412.640,SPEAKER_00
413.048,414.389,SPEAKER_00
414.881,415.594,SPEAKER_00
415.900,419.007,SPEAKER_00
419.007,419.618,SPEAKER_01
419.618,419.703,SPEAKER_00
420.739,421.384,SPEAKER_01
423.285,423.676,SPEAKER_01
424.321,425.424,SPEAKER_01
426.239,427.801,SPEAKER_01
428.413,430.382,SPEAKER_01
431.910,434.100,SPEAKER_01
436.070,463.659,SPEAKER_01
441.486,441.944,SPEAKER_00
464.610,464.966,SPEAKER_01
465.526,468.005,SPEAKER_01
468.701,470.144,SPEAKER_01
471.163,473.998,SPEAKER_01
473.998,475.374,SPEAKER_00
475.951,483.014,SPEAKER_00
483.251,490.008,SPEAKER_00
490.008,496.579,SPEAKER_01
497.020,498.192,SPEAKER_01
498.939,526.749,SPEAKER_01
527.122,528.141,SPEAKER_01
528.582,542.997,SPEAKER_01
542.997,556.698,SPEAKER_00
557.903,558.786,SPEAKER_01
559.007,560.025,SPEAKER_01
560.722,566.749,SPEAKER_01
566.885,611.995,SPEAKER_01
579.465,580.042,SPEAKER_00
611.995,613.896,SPEAKER_00
613.896,613.998,SPEAKER_01
613.998,617.462,SPEAKER_00
617.530,617.954,SPEAKER_00
618.497,620.416,SPEAKER_00
620.993,627.003,SPEAKER_00
627.003,634.711,SPEAKER_01
