start,end,speaker
0.959,1.197,SPEAKER_00
1.774,3.540,SPEAKER_00
4.762,5.526,SPEAKER_00
4.813,5.204,SPEAKER_01
6.715,10.823,SPEAKER_00
11.740,12.334,SPEAKER_00
13.896,14.406,SPEAKER_00
14.491,15.492,SPEAKER_00
15.866,16.749,SPEAKER_01
17.411,19.686,SPEAKER_00
21.672,24.185,SPEAKER_00
24.677,26.579,SPEAKER_00
26.579,26.613,SPEAKER_01
26.969,27.003,SPEAKER_01
27.003,27.971,SPEAKER_00
27.394,27.666,SPEAKER_01
27.971,27.988,SPEAKER_01
28.905,30.840,SPEAKER_00
31.452,32.895,SPEAKER_00
34.270,34.610,SPEAKER_00
36.104,39.686,SPEAKER_00
40.059,40.857,SPEAKER_00
41.469,43.014,SPEAKER_00
43.879,44.304,SPEAKER_00
44.728,45.170,SPEAKER_00
45.170,45.306,SPEAKER_01
45.747,46.494,SPEAKER_01
46.664,47.818,SPEAKER_00
49.228,49.601,SPEAKER_01
50.654,53.200,SPEAKER_01
53.557,54.117,SPEAKER_01
54.915,57.275,SPEAKER_01
58.056,58.599,SPEAKER_01
59.092,60.976,SPEAKER_00
61.757,64.559,SPEAKER_01
64.576,65.340,SPEAKER_01
67.003,67.801,SPEAKER_00
67.801,67.920,SPEAKER_01
67.920,67.954,SPEAKER_00
67.971,68.005,SPEAKER_01
68.005,69.278,SPEAKER_00
69.278,69.346,SPEAKER_01
69.346,75.509,SPEAKER_00
75.849,78.582,SPEAKER_01
80.229,81.587,SPEAKER_00
82.097,83.404,SPEAKER_00
84.253,84.898,SPEAKER_00
85.526,86.392,SPEAKER_00
87.360,91.689,SPEAKER_00
92.148,92.606,SPEAKER_00
93.081,93.761,SPEAKER_01
94.864,97.258,SPEAKER_00
98.854,99.822,SPEAKER_00
100.942,106.171,SPEAKER_00
106.902,108.022,SPEAKER_01
109.160,109.635,SPEAKER_00
110.382,113.608,SPEAKER_00
114.915,115.798,SPEAKER_01
117.173,118.667,SPEAKER_01
118.005,118.362,SPEAKER_00
119.041,125.934,SPEAKER_01
122.759,123.302,SPEAKER_00
126.647,127.784,SPEAKER_01
128.022,130.297,SPEAKER_01
131.299,132.997,SPEAKER_01
132.997,133.166,SPEAKER_00
133.166,133.200,SPEAKER_01
133.591,134.321,SPEAKER_00
134.321,134.338,SPEAKER_01
134.694,136.986,SPEAKER_00
137.360,141.927,SPEAKER_00
141.367,141.723,SPEAKER_01
142.216,142.810,SPEAKER_00
142.810,144.966,SPEAKER_01
145.407,146.528,SPEAKER_01
145.441,145.883,SPEAKER_00
146.528,149.058,SPEAKER_00
149.567,149.941,SPEAKER_01
150.025,152.640,SPEAKER_01
153.183,153.336,SPEAKER_00
153.336,153.370,SPEAKER_01
153.659,153.998,SPEAKER_01
154.728,156.290,SPEAKER_00
156.290,156.307,SPEAKER_01
156.834,157.598,SPEAKER_01
157.598,157.615,SPEAKER_00
157.615,157.649,SPEAKER_01
157.649,158.277,SPEAKER_00
159.601,163.098,SPEAKER_00
163.302,166.426,SPEAKER_00
167.241,169.652,SPEAKER_00
170.501,170.823,SPEAKER_00
170.823,174.813,SPEAKER_01
175.713,176.596,SPEAKER_00
178.107,179.822,SPEAKER_00
180.942,180.959,SPEAKER_01
180.959,181.061,SPEAKER_00
181.061,181.299,SPEAKER_01
183.455,183.879,SPEAKER_00
184.491,187.275,SPEAKER_00
188.056,189.228,SPEAKER_01
189.397,189.414,SPEAKER_01
189.414,189.992,SPEAKER_00
189.992,191.129,SPEAKER_01
191.384,192.080,SPEAKER_01
192.640,194.610,SPEAKER_01
194.610,194.626,SPEAKER_00
195.323,197.699,SPEAKER_00
198.956,207.003,SPEAKER_01
199.924,200.823,SPEAKER_00
201.095,201.384,SPEAKER_00
207.003,207.020,SPEAKER_00
207.020,207.105,SPEAKER_01
207.105,210.705,SPEAKER_00
210.959,213.727,SPEAKER_00
215.407,215.900,SPEAKER_01
216.188,217.428,SPEAKER_00
217.767,217.852,SPEAKER_00
217.852,217.971,SPEAKER_01
217.971,218.022,SPEAKER_00
218.022,218.803,SPEAKER_01
218.803,219.601,SPEAKER_00
220.008,221.638,SPEAKER_00
222.385,224.474,SPEAKER_00
225.136,225.543,SPEAKER_00
226.053,226.698,SPEAKER_00
226.239,227.156,SPEAKER_01
227.750,229.516,SPEAKER_00
230.042,230.874,SPEAKER_00
230.874,232.895,SPEAKER_01
232.895,234.983,SPEAKER_00
235.475,237.971,SPEAKER_00
238.447,242.385,SPEAKER_00
242.657,243.234,SPEAKER_00
245.051,246.104,SPEAKER_01
248.141,251.587,SPEAKER_00
252.301,253.065,SPEAKER_00
253.098,255.017,SPEAKER_00
256.868,260.569,SPEAKER_01
261.146,264.745,SPEAKER_01
265.085,269.092,SPEAKER_01
267.988,268.413,SPEAKER_00
