start,end,speaker
3.676,3.761,SPEAKER_01
8.141,8.616,SPEAKER_01
9.126,16.834,SPEAKER_01
18.447,20.178,SPEAKER_01
19.380,20.110,SPEAKER_00
21.316,21.740,SPEAKER_01
22.233,23.031,SPEAKER_01
24.847,26.715,SPEAKER_01
27.598,33.353,SPEAKER_01
33.812,34.932,SPEAKER_01
36.647,36.664,SPEAKER_01
36.664,43.217,SPEAKER_00
43.438,44.423,SPEAKER_00
44.745,48.667,SPEAKER_00
49.228,49.924,SPEAKER_00
50.314,55.000,SPEAKER_00
55.000,57.003,SPEAKER_01
57.003,59.007,SPEAKER_00
59.007,62.759,SPEAKER_01
65.051,69.346,SPEAKER_01
69.890,70.789,SPEAKER_01
72.301,79.211,SPEAKER_01
79.822,82.521,SPEAKER_01
83.234,90.280,SPEAKER_01
91.061,102.402,SPEAKER_00
98.141,99.126,SPEAKER_01
102.997,106.647,SPEAKER_01
108.616,110.959,SPEAKER_01
113.913,117.462,SPEAKER_01
119.194,119.329,SPEAKER_01
119.856,119.992,SPEAKER_00
119.992,120.552,SPEAKER_01
120.552,120.586,SPEAKER_00
121.672,122.097,SPEAKER_00
124.830,127.716,SPEAKER_01
129.228,134.949,SPEAKER_01
136.715,140.823,SPEAKER_01
141.112,144.049,SPEAKER_01
144.728,151.401,SPEAKER_01
151.401,151.537,SPEAKER_00
151.638,151.825,SPEAKER_00
152.216,155.153,SPEAKER_01
156.273,159.160,SPEAKER_01
160.212,165.492,SPEAKER_01
168.277,171.672,SPEAKER_01
172.929,181.350,SPEAKER_01
181.740,182.216,SPEAKER_01
182.657,185.730,SPEAKER_01
187.581,190.518,SPEAKER_01
191.061,195.272,SPEAKER_01
195.441,203.031,SPEAKER_01
203.285,207.784,SPEAKER_01
209.567,213.981,SPEAKER_01
215.068,229.669,SPEAKER_01
230.093,238.990,SPEAKER_01
240.535,244.626,SPEAKER_01
244.881,247.716,SPEAKER_01
248.871,248.888,SPEAKER_00
248.888,266.647,SPEAKER_01
269.329,271.010,SPEAKER_01
271.265,273.472,SPEAKER_01
275.204,276.307,SPEAKER_01
276.986,278.022,SPEAKER_01
278.854,282.555,SPEAKER_01
283.065,284.032,SPEAKER_01
284.355,285.255,SPEAKER_01
285.509,287.037,SPEAKER_01
289.278,292.368,SPEAKER_01
293.200,297.801,SPEAKER_01
299.363,299.601,SPEAKER_01
299.601,299.618,SPEAKER_00
299.618,300.654,SPEAKER_01
300.654,300.671,SPEAKER_00
301.689,302.351,SPEAKER_01
302.470,302.997,SPEAKER_01
306.868,307.632,SPEAKER_01
308.362,309.839,SPEAKER_01
311.299,312.878,SPEAKER_01
314.185,314.610,SPEAKER_01
316.579,319.397,SPEAKER_01
319.703,325.866,SPEAKER_01
326.477,326.698,SPEAKER_01
327.326,335.594,SPEAKER_01
336.562,349.397,SPEAKER_01
352.878,358.837,SPEAKER_01
360.348,362.114,SPEAKER_01
362.368,366.511,SPEAKER_01
366.681,369.041,SPEAKER_01
369.448,370.891,SPEAKER_01
372.572,375.357,SPEAKER_01
376.273,384.711,SPEAKER_01
384.932,388.005,SPEAKER_01
388.345,391.112,SPEAKER_01
392.419,395.713,SPEAKER_01
396.494,398.514,SPEAKER_01
398.871,399.228,SPEAKER_01
399.228,399.244,SPEAKER_00
399.448,402.368,SPEAKER_01
402.725,405.289,SPEAKER_01
407.003,414.032,SPEAKER_01
414.593,426.460,SPEAKER_01
424.932,425.357,SPEAKER_00
427.122,432.623,SPEAKER_01
433.183,433.778,SPEAKER_01
434.219,437.071,SPEAKER_01
437.360,448.294,SPEAKER_01
446.817,447.275,SPEAKER_00
448.497,452.810,SPEAKER_01
453.506,462.114,SPEAKER_01
462.334,466.409,SPEAKER_01
466.732,481.672,SPEAKER_01
482.776,483.387,SPEAKER_01
487.428,487.445,SPEAKER_00
491.995,495.000,SPEAKER_01
495.255,511.061,SPEAKER_01
511.469,519.941,SPEAKER_01
520.161,537.360,SPEAKER_01
537.581,538.718,SPEAKER_01
539.007,540.823,SPEAKER_01
541.655,555.407,SPEAKER_01
555.696,569.465,SPEAKER_01
570.093,574.117,SPEAKER_01
574.711,575.306,SPEAKER_01
575.645,584.898,SPEAKER_01
585.323,586.138,SPEAKER_00
585.628,590.246,SPEAKER_01
590.671,598.379,SPEAKER_01
599.482,602.980,SPEAKER_01
