start,end,speaker
0.008,0.756,SPEAKER_01
1.435,1.978,SPEAKER_01
2.504,2.878,SPEAKER_00
3.319,3.336,SPEAKER_00
3.336,4.864,SPEAKER_01
3.370,3.812,SPEAKER_00
5.543,7.275,SPEAKER_00
7.411,10.908,SPEAKER_01
12.097,16.019,SPEAKER_00
16.392,19.160,SPEAKER_01
20.535,23.251,SPEAKER_00
23.591,25.272,SPEAKER_00
25.424,27.801,SPEAKER_00
28.447,28.956,SPEAKER_00
29.465,32.946,SPEAKER_00
32.674,32.708,SPEAKER_01
33.489,35.187,SPEAKER_00
35.340,36.036,SPEAKER_00
36.307,39.601,SPEAKER_00
39.805,42.861,SPEAKER_00
43.489,45.679,SPEAKER_00
45.968,49.312,SPEAKER_01
49.635,54.219,SPEAKER_01
54.660,57.767,SPEAKER_01
58.786,63.251,SPEAKER_00
63.438,64.508,SPEAKER_01
64.117,64.542,SPEAKER_00
64.542,64.796,SPEAKER_01
65.458,65.934,SPEAKER_01
66.154,66.732,SPEAKER_01
66.273,71.350,SPEAKER_00
71.316,72.063,SPEAKER_01
71.638,74.610,SPEAKER_00
74.949,76.698,SPEAKER_00
77.139,82.419,SPEAKER_01
83.676,88.548,SPEAKER_00
89.244,89.635,SPEAKER_01
89.295,90.586,SPEAKER_00
91.927,92.606,SPEAKER_01
92.182,92.997,SPEAKER_00
92.997,93.014,SPEAKER_01
93.014,94.049,SPEAKER_00
93.031,93.472,SPEAKER_01
94.660,98.447,SPEAKER_01
99.448,99.805,SPEAKER_01
99.448,100.654,SPEAKER_00
100.891,100.976,SPEAKER_01
101.010,102.131,SPEAKER_00
102.385,104.032,SPEAKER_00
104.083,113.132,SPEAKER_01
115.017,120.467,SPEAKER_00
120.806,122.097,SPEAKER_00
122.097,122.691,SPEAKER_01
123.183,126.919,SPEAKER_01
129.194,130.008,SPEAKER_00
130.348,133.642,SPEAKER_00
133.998,135.832,SPEAKER_00
134.015,134.372,SPEAKER_01
136.613,138.616,SPEAKER_00
138.650,141.825,SPEAKER_01
142.233,143.166,SPEAKER_01
143.608,144.117,SPEAKER_00
144.796,145.492,SPEAKER_00
145.883,151.248,SPEAKER_01
153.285,153.438,SPEAKER_00
154.236,155.153,SPEAKER_00
155.526,157.530,SPEAKER_01
160.161,162.742,SPEAKER_00
163.065,166.290,SPEAKER_01
169.024,174.321,SPEAKER_00
174.610,175.764,SPEAKER_01
175.187,176.104,SPEAKER_00
176.545,178.684,SPEAKER_01
180.195,183.081,SPEAKER_00
183.540,186.239,SPEAKER_00
185.866,186.104,SPEAKER_01
186.766,190.059,SPEAKER_00
190.263,197.784,SPEAKER_00
196.121,198.107,SPEAKER_01
197.869,198.480,SPEAKER_00
199.058,199.839,SPEAKER_00
200.025,202.623,SPEAKER_01
