start,end,speaker
2.861,14.762,SPEAKER_01
3.812,4.134,SPEAKER_00
7.258,8.158,SPEAKER_00
16.019,16.036,SPEAKER_00
16.036,18.005,SPEAKER_01
18.005,18.599,SPEAKER_00
18.599,18.667,SPEAKER_01
20.110,20.688,SPEAKER_00
22.301,25.000,SPEAKER_00
25.000,26.087,SPEAKER_01
26.087,26.121,SPEAKER_00
27.071,28.056,SPEAKER_01
28.956,38.005,SPEAKER_01
38.005,40.450,SPEAKER_00
40.450,41.316,SPEAKER_01
40.586,41.044,SPEAKER_00
42.674,54.593,SPEAKER_00
54.593,54.881,SPEAKER_01
54.881,54.966,SPEAKER_00
54.966,58.701,SPEAKER_01
54.983,55.475,SPEAKER_00
59.550,61.248,SPEAKER_01
63.098,67.156,SPEAKER_01
68.803,71.333,SPEAKER_01
72.284,73.200,SPEAKER_01
73.964,74.185,SPEAKER_01
74.728,80.042,SPEAKER_01
80.484,84.151,SPEAKER_01
84.321,85.815,SPEAKER_01
85.968,92.419,SPEAKER_01
86.205,86.935,SPEAKER_00
87.071,87.156,SPEAKER_00
92.419,110.925,SPEAKER_00
112.165,112.182,SPEAKER_01
112.182,112.997,SPEAKER_00
112.997,115.679,SPEAKER_01
116.986,118.514,SPEAKER_01
119.737,124.711,SPEAKER_01
125.934,142.997,SPEAKER_00
142.997,146.324,SPEAKER_01
153.285,153.998,SPEAKER_01
153.998,156.087,SPEAKER_00
154.728,169.007,SPEAKER_01
157.852,158.396,SPEAKER_00
169.007,169.992,SPEAKER_00
169.992,170.008,SPEAKER_01
170.008,175.000,SPEAKER_00
175.000,178.056,SPEAKER_01
178.447,178.616,SPEAKER_01
179.295,182.301,SPEAKER_01
182.572,185.187,SPEAKER_01
185.815,186.375,SPEAKER_01
186.868,190.993,SPEAKER_01
190.993,192.216,SPEAKER_00
193.761,194.389,SPEAKER_00
194.745,198.090,SPEAKER_00
199.329,200.789,SPEAKER_00
201.316,205.017,SPEAKER_00
205.119,207.037,SPEAKER_00
207.394,208.311,SPEAKER_00
209.143,210.789,SPEAKER_01
211.638,213.065,SPEAKER_01
214.881,214.898,SPEAKER_00
214.898,215.560,SPEAKER_01
215.560,215.577,SPEAKER_00
215.577,216.087,SPEAKER_01
216.087,216.188,SPEAKER_00
216.188,231.995,SPEAKER_01
231.995,233.115,SPEAKER_00
234.355,240.840,SPEAKER_00
241.859,248.463,SPEAKER_00
248.463,248.854,SPEAKER_01
248.990,249.024,SPEAKER_01
249.160,256.698,SPEAKER_01
258.124,276.002,SPEAKER_01
276.002,280.161,SPEAKER_00
281.333,283.132,SPEAKER_00
283.132,283.183,SPEAKER_01
283.183,283.200,SPEAKER_00
285.374,287.767,SPEAKER_00
289.601,294.270,SPEAKER_00
295.000,297.954,SPEAKER_00
297.954,318.667,SPEAKER_01
322.776,324.711,SPEAKER_01
326.104,328.311,SPEAKER_01
328.956,333.676,SPEAKER_01
334.576,337.801,SPEAKER_01
338.073,345.730,SPEAKER_01
348.922,349.261,SPEAKER_01
350.433,356.121,SPEAKER_01
356.121,358.701,SPEAKER_00
362.368,367.988,SPEAKER_01
367.988,368.158,SPEAKER_00
368.175,368.226,SPEAKER_00
368.243,368.769,SPEAKER_00
369.805,376.528,SPEAKER_00
377.003,377.088,SPEAKER_00
377.716,380.993,SPEAKER_00
380.993,382.402,SPEAKER_01
383.506,395.662,SPEAKER_01
397.054,402.233,SPEAKER_01
402.538,402.623,SPEAKER_01
402.623,410.501,SPEAKER_00
411.791,413.455,SPEAKER_00
415.153,420.671,SPEAKER_00
420.671,420.688,SPEAKER_01
422.368,427.003,SPEAKER_01
427.003,428.837,SPEAKER_00
430.127,443.370,SPEAKER_00
444.287,446.511,SPEAKER_00
446.868,447.598,SPEAKER_00
447.598,447.649,SPEAKER_01
447.649,447.699,SPEAKER_00
447.699,447.733,SPEAKER_01
448.820,449.363,SPEAKER_01
450.246,465.000,SPEAKER_01
450.314,450.993,SPEAKER_00
465.000,465.764,SPEAKER_00
465.764,466.002,SPEAKER_01
466.647,466.664,SPEAKER_01
466.664,476.392,SPEAKER_00
477.411,479.177,SPEAKER_01
480.093,480.365,SPEAKER_01
480.535,496.154,SPEAKER_01
497.530,507.003,SPEAKER_01
507.207,508.973,SPEAKER_01
509.092,512.267,SPEAKER_01
510.620,510.654,SPEAKER_00
510.722,510.756,SPEAKER_00
511.010,511.248,SPEAKER_00
512.521,514.542,SPEAKER_01
514.898,515.815,SPEAKER_01
517.037,517.801,SPEAKER_01
517.801,518.633,SPEAKER_00
518.633,520.976,SPEAKER_01
518.701,519.092,SPEAKER_00
521.570,522.385,SPEAKER_00
521.740,522.521,SPEAKER_01
522.521,522.623,SPEAKER_00
522.623,522.810,SPEAKER_01
522.929,548.769,SPEAKER_01
549.007,549.024,SPEAKER_01
549.041,570.144,SPEAKER_01
570.178,570.671,SPEAKER_00
570.671,576.104,SPEAKER_01
576.477,583.081,SPEAKER_01
583.336,588.226,SPEAKER_01
589.007,604.898,SPEAKER_01
598.990,599.295,SPEAKER_00
604.983,605.017,SPEAKER_01
605.849,623.879,SPEAKER_01
