start,end,speaker
3.048,3.557,SPEAKER_01
3.964,3.998,SPEAKER_01
3.998,4.253,SPEAKER_00
4.253,4.745,SPEAKER_01
4.745,4.813,SPEAKER_00
5.102,6.070,SPEAKER_01
6.579,6.783,SPEAKER_00
7.326,11.944,SPEAKER_01
12.368,18.243,SPEAKER_00
18.837,21.638,SPEAKER_01
22.946,26.053,SPEAKER_00
26.104,30.993,SPEAKER_00
31.537,33.489,SPEAKER_01
34.643,38.769,SPEAKER_00
39.160,41.010,SPEAKER_01
41.587,41.927,SPEAKER_00
42.385,47.360,SPEAKER_01
48.667,50.331,SPEAKER_00
50.993,51.010,SPEAKER_00
51.027,52.453,SPEAKER_00
52.589,60.993,SPEAKER_00
60.993,61.638,SPEAKER_01
61.876,62.623,SPEAKER_01
62.317,64.304,SPEAKER_00
64.559,65.085,SPEAKER_01
65.611,71.587,SPEAKER_01
72.572,77.054,SPEAKER_00
77.360,80.823,SPEAKER_00
81.027,83.846,SPEAKER_01
85.034,87.462,SPEAKER_01
88.362,89.482,SPEAKER_00
90.263,90.772,SPEAKER_01
90.399,90.925,SPEAKER_00
91.655,96.494,SPEAKER_01
97.003,100.756,SPEAKER_00
101.910,103.896,SPEAKER_01
103.896,104.015,SPEAKER_00
104.117,104.253,SPEAKER_00
104.864,105.628,SPEAKER_00
106.562,108.005,SPEAKER_00
108.192,108.973,SPEAKER_00
108.973,112.436,SPEAKER_01
113.115,119.211,SPEAKER_00
119.499,121.520,SPEAKER_01
122.504,125.034,SPEAKER_01
126.341,132.963,SPEAKER_01
133.387,133.964,SPEAKER_00
133.964,136.426,SPEAKER_01
136.817,145.883,SPEAKER_01
146.885,151.044,SPEAKER_00
151.129,151.757,SPEAKER_00
152.793,156.171,SPEAKER_00
156.528,157.088,SPEAKER_00
157.903,161.299,SPEAKER_00
161.910,163.048,SPEAKER_00
163.183,163.727,SPEAKER_01
164.660,167.920,SPEAKER_00
168.701,170.161,SPEAKER_00
170.586,174.593,SPEAKER_01
175.068,175.628,SPEAKER_01
176.596,181.316,SPEAKER_01
181.944,182.793,SPEAKER_00
182.997,183.081,SPEAKER_00
183.676,185.102,SPEAKER_00
183.693,184.015,SPEAKER_01
185.102,187.496,SPEAKER_01
188.260,191.418,SPEAKER_00
191.893,194.083,SPEAKER_00
194.559,195.509,SPEAKER_01
195.594,195.696,SPEAKER_01
195.696,195.883,SPEAKER_00
195.883,195.951,SPEAKER_01
195.951,197.224,SPEAKER_00
197.547,206.935,SPEAKER_01
207.750,208.379,SPEAKER_00
