start,end,speaker
13.998,15.000,SPEAKER_01
23.438,23.964,SPEAKER_01
23.998,25.407,SPEAKER_01
25.407,27.071,SPEAKER_00
27.683,31.129,SPEAKER_01
30.518,33.438,SPEAKER_00
33.913,37.309,SPEAKER_01
38.582,41.435,SPEAKER_00
38.684,39.228,SPEAKER_01
41.452,41.520,SPEAKER_00
41.723,42.538,SPEAKER_00
46.647,47.224,SPEAKER_00
47.292,50.178,SPEAKER_00
50.365,50.450,SPEAKER_00
51.570,53.404,SPEAKER_00
54.015,55.000,SPEAKER_01
55.441,60.806,SPEAKER_01
61.384,63.812,SPEAKER_00
64.015,71.299,SPEAKER_01
72.385,72.419,SPEAKER_00
72.759,73.489,SPEAKER_00
73.998,74.270,SPEAKER_00
74.847,76.749,SPEAKER_01
77.173,79.211,SPEAKER_00
79.686,81.078,SPEAKER_01
81.316,83.744,SPEAKER_00
84.711,87.852,SPEAKER_01
88.379,92.402,SPEAKER_00
90.620,90.840,SPEAKER_01
92.453,92.861,SPEAKER_01
93.523,97.513,SPEAKER_01
97.920,101.401,SPEAKER_00
102.284,106.630,SPEAKER_01
104.032,104.168,SPEAKER_00
106.036,113.098,SPEAKER_00
113.217,115.611,SPEAKER_00
116.426,118.667,SPEAKER_00
120.756,121.384,SPEAKER_01
121.384,123.930,SPEAKER_00
123.540,125.832,SPEAKER_01
126.121,128.752,SPEAKER_00
128.905,134.830,SPEAKER_00
134.830,139.092,SPEAKER_01
139.143,142.097,SPEAKER_00
142.929,145.187,SPEAKER_00
145.323,146.087,SPEAKER_00
146.154,146.205,SPEAKER_00
149.211,151.112,SPEAKER_01
151.163,151.197,SPEAKER_01
153.981,158.226,SPEAKER_00
158.447,158.497,SPEAKER_00
158.514,160.450,SPEAKER_00
160.908,164.660,SPEAKER_01
165.238,166.273,SPEAKER_00
166.273,168.922,SPEAKER_01
169.448,173.625,SPEAKER_00
174.457,175.594,SPEAKER_01
176.138,177.122,SPEAKER_00
178.022,180.484,SPEAKER_01
180.823,181.197,SPEAKER_01
182.521,183.455,SPEAKER_00
183.472,183.540,SPEAKER_00
183.557,183.998,SPEAKER_00
187.479,188.005,SPEAKER_01
193.642,197.258,SPEAKER_01
197.530,198.701,SPEAKER_00
197.767,198.786,SPEAKER_01
200.993,203.132,SPEAKER_01
202.963,205.170,SPEAKER_00
205.815,207.801,SPEAKER_01
207.649,209.737,SPEAKER_00
209.992,210.976,SPEAKER_00
211.723,214.270,SPEAKER_01
214.270,214.966,SPEAKER_00
215.289,215.492,SPEAKER_01
215.594,216.562,SPEAKER_01
217.088,220.110,SPEAKER_00
220.976,221.520,SPEAKER_01
221.825,227.343,SPEAKER_00
227.971,230.756,SPEAKER_00
231.401,232.504,SPEAKER_01
232.725,233.149,SPEAKER_00
233.149,233.846,SPEAKER_01
233.166,235.968,SPEAKER_00
234.066,234.559,SPEAKER_01
236.511,237.801,SPEAKER_00
238.107,245.492,SPEAKER_00
245.645,246.545,SPEAKER_01
246.545,246.562,SPEAKER_00
246.562,246.579,SPEAKER_01
246.579,247.360,SPEAKER_00
246.613,250.365,SPEAKER_01
250.433,252.589,SPEAKER_00
251.570,251.757,SPEAKER_01
252.895,254.406,SPEAKER_00
255.000,256.104,SPEAKER_01
256.256,257.394,SPEAKER_01
257.683,259.414,SPEAKER_00
259.720,259.907,SPEAKER_01
264.779,267.173,SPEAKER_00
267.784,273.048,SPEAKER_00
273.132,278.005,SPEAKER_00
278.447,279.075,SPEAKER_00
279.669,284.728,SPEAKER_00
285.051,286.138,SPEAKER_01
286.358,292.402,SPEAKER_00
292.589,299.024,SPEAKER_01
299.177,300.365,SPEAKER_01
300.654,303.964,SPEAKER_00
304.083,306.528,SPEAKER_01
305.357,308.701,SPEAKER_00
308.718,308.735,SPEAKER_00
308.752,309.703,SPEAKER_01
309.584,312.046,SPEAKER_00
312.216,313.591,SPEAKER_00
314.423,318.854,SPEAKER_00
319.703,324.406,SPEAKER_01
324.847,329.278,SPEAKER_00
329.771,330.229,SPEAKER_00
330.127,331.282,SPEAKER_01
331.638,334.389,SPEAKER_00
334.643,338.243,SPEAKER_01
340.025,345.000,SPEAKER_00
345.357,356.902,SPEAKER_00
357.173,358.871,SPEAKER_00
358.005,358.124,SPEAKER_01
358.209,358.379,SPEAKER_01
359.007,359.024,SPEAKER_00
359.126,359.143,SPEAKER_00
359.160,359.177,SPEAKER_00
359.533,379.686,SPEAKER_00
374.643,375.000,SPEAKER_01
380.008,386.545,SPEAKER_00
385.017,385.577,SPEAKER_01
388.752,391.401,SPEAKER_00
391.672,400.857,SPEAKER_00
397.292,398.175,SPEAKER_01
401.197,410.993,SPEAKER_00
411.723,411.757,SPEAKER_01
411.757,412.199,SPEAKER_00
412.487,413.098,SPEAKER_00
413.149,421.435,SPEAKER_00
421.944,428.514,SPEAKER_00
422.691,423.166,SPEAKER_01
428.871,438.888,SPEAKER_00
438.922,442.997,SPEAKER_00
443.353,448.939,SPEAKER_00
450.637,452.980,SPEAKER_01
452.980,457.207,SPEAKER_00
453.778,453.846,SPEAKER_01
