start,end,speaker
0.008,0.552,SPEAKER_01
4.049,4.542,SPEAKER_01
5.374,5.866,SPEAKER_00
6.375,6.868,SPEAKER_01
7.224,7.716,SPEAKER_01
8.260,14.015,SPEAKER_01
14.032,14.321,SPEAKER_00
15.068,20.042,SPEAKER_00
20.382,22.538,SPEAKER_01
23.727,26.104,SPEAKER_00
26.341,30.501,SPEAKER_00
30.857,31.808,SPEAKER_01
32.351,34.745,SPEAKER_01
34.830,35.458,SPEAKER_01
36.256,38.548,SPEAKER_00
38.786,42.131,SPEAKER_01
44.015,46.290,SPEAKER_00
46.885,51.655,SPEAKER_00
52.657,54.355,SPEAKER_01
52.691,53.166,SPEAKER_00
54.508,58.090,SPEAKER_01
59.533,63.710,SPEAKER_00
64.134,64.542,SPEAKER_00
64.847,66.681,SPEAKER_00
67.224,68.582,SPEAKER_00
68.803,70.535,SPEAKER_01
70.806,75.849,SPEAKER_01
76.409,77.615,SPEAKER_01
79.278,80.637,SPEAKER_00
81.027,89.414,SPEAKER_01
91.638,92.368,SPEAKER_00
92.946,93.506,SPEAKER_00
94.338,98.277,SPEAKER_00
98.565,101.282,SPEAKER_00
101.689,104.066,SPEAKER_00
104.236,104.593,SPEAKER_00
104.779,106.902,SPEAKER_00
107.241,107.716,SPEAKER_00
108.039,110.144,SPEAKER_00
110.467,112.640,SPEAKER_00
112.946,113.489,SPEAKER_00
113.659,117.139,SPEAKER_00
117.275,117.716,SPEAKER_00
117.428,120.059,SPEAKER_01
120.772,121.146,SPEAKER_00
121.655,124.270,SPEAKER_01
125.509,130.501,SPEAKER_00
130.976,131.689,SPEAKER_00
132.097,132.810,SPEAKER_00
133.336,134.711,SPEAKER_00
134.949,135.543,SPEAKER_00
135.866,136.358,SPEAKER_01
136.036,136.409,SPEAKER_00
136.783,137.598,SPEAKER_00
137.784,141.876,SPEAKER_00
141.876,142.708,SPEAKER_01
142.997,145.594,SPEAKER_01
146.681,147.275,SPEAKER_01
147.462,148.175,SPEAKER_00
148.158,149.007,SPEAKER_01
149.058,150.993,SPEAKER_01
150.008,150.025,SPEAKER_00
152.385,156.528,SPEAKER_00
156.885,159.448,SPEAKER_00
160.110,163.659,SPEAKER_00
164.236,167.326,SPEAKER_01
167.530,168.769,SPEAKER_00
168.973,169.567,SPEAKER_00
170.008,170.331,SPEAKER_00
170.603,170.908,SPEAKER_01
170.908,170.993,SPEAKER_00
170.993,171.044,SPEAKER_01
171.044,171.078,SPEAKER_00
171.553,174.491,SPEAKER_01
176.409,179.228,SPEAKER_00
179.720,180.688,SPEAKER_00
