start,end,speaker
1.401,3.115,SPEAKER_01
5.289,8.277,SPEAKER_01
19.109,22.182,SPEAKER_01
22.487,22.997,SPEAKER_01
24.932,25.323,SPEAKER_01
25.577,26.851,SPEAKER_01
27.003,27.037,SPEAKER_01
27.207,28.107,SPEAKER_01
28.379,28.650,SPEAKER_01
28.650,28.718,SPEAKER_00
28.718,32.419,SPEAKER_01
32.674,33.455,SPEAKER_01
33.981,35.238,SPEAKER_01
34.389,34.779,SPEAKER_00
36.121,36.154,SPEAKER_00
36.154,36.171,SPEAKER_01
36.171,40.093,SPEAKER_00
39.160,39.703,SPEAKER_01
40.093,40.229,SPEAKER_01
40.229,42.742,SPEAKER_00
41.520,42.623,SPEAKER_01
43.778,43.795,SPEAKER_00
44.423,45.934,SPEAKER_00
46.002,46.087,SPEAKER_00
46.545,46.579,SPEAKER_00
46.579,46.630,SPEAKER_01
46.630,47.886,SPEAKER_00
47.886,48.158,SPEAKER_01
48.396,51.723,SPEAKER_01
52.385,53.625,SPEAKER_01
54.032,54.593,SPEAKER_00
54.660,55.900,SPEAKER_00
56.324,58.294,SPEAKER_00
58.939,60.806,SPEAKER_00
60.976,62.844,SPEAKER_00
63.149,64.321,SPEAKER_00
64.576,66.087,SPEAKER_00
66.256,68.837,SPEAKER_00
66.935,67.598,SPEAKER_01
69.007,74.338,SPEAKER_00
69.839,71.537,SPEAKER_01
74.779,78.005,SPEAKER_00
78.005,78.124,SPEAKER_01
78.124,78.311,SPEAKER_00
78.956,82.012,SPEAKER_00
79.092,79.754,SPEAKER_01
81.689,83.778,SPEAKER_01
84.338,85.000,SPEAKER_01
85.000,90.297,SPEAKER_00
91.299,96.545,SPEAKER_01
97.377,97.411,SPEAKER_00
97.411,97.428,SPEAKER_01
97.428,98.022,SPEAKER_00
98.022,98.039,SPEAKER_01
98.039,98.056,SPEAKER_00
98.056,100.637,SPEAKER_01
100.637,100.688,SPEAKER_00
101.910,103.998,SPEAKER_00
104.525,105.000,SPEAKER_00
109.482,110.144,SPEAKER_00
111.180,112.810,SPEAKER_00
114.304,115.492,SPEAKER_00
116.171,116.715,SPEAKER_00
117.394,118.192,SPEAKER_00
120.348,125.017,SPEAKER_01
125.509,127.258,SPEAKER_01
127.258,128.447,SPEAKER_00
129.652,132.742,SPEAKER_01
133.676,133.947,SPEAKER_01
133.947,133.998,SPEAKER_00
133.998,134.015,SPEAKER_01
134.015,134.083,SPEAKER_00
134.083,134.100,SPEAKER_01
134.100,134.151,SPEAKER_00
134.168,134.270,SPEAKER_00
135.441,138.124,SPEAKER_01
140.110,140.365,SPEAKER_00
140.365,140.382,SPEAKER_01
140.382,140.484,SPEAKER_00
140.484,140.552,SPEAKER_01
142.131,143.081,SPEAKER_01
143.166,146.087,SPEAKER_01
147.886,152.793,SPEAKER_00
148.803,149.126,SPEAKER_01
153.421,155.153,SPEAKER_00
155.611,155.968,SPEAKER_00
156.630,156.834,SPEAKER_00
159.431,163.132,SPEAKER_01
164.236,168.124,SPEAKER_00
168.514,168.905,SPEAKER_00
170.042,170.484,SPEAKER_00
171.842,172.657,SPEAKER_00
176.002,181.995,SPEAKER_01
181.995,184.151,SPEAKER_00
184.440,189.890,SPEAKER_00
189.992,190.008,SPEAKER_00
190.993,193.251,SPEAKER_00
191.774,193.998,SPEAKER_01
194.813,197.105,SPEAKER_01
197.258,207.683,SPEAKER_01
199.448,199.992,SPEAKER_00
206.952,207.445,SPEAKER_00
208.141,208.158,SPEAKER_01
208.158,208.616,SPEAKER_00
208.616,208.650,SPEAKER_01
210.025,213.421,SPEAKER_00
213.829,215.238,SPEAKER_00
