start,end,speaker
1.842,1.876,SPEAKER_01
1.876,2.946,SPEAKER_00
3.472,5.407,SPEAKER_00
6.919,8.497,SPEAKER_00
8.599,11.503,SPEAKER_00
12.097,13.302,SPEAKER_00
13.693,13.710,SPEAKER_01
13.710,14.185,SPEAKER_00
14.185,14.287,SPEAKER_01
14.287,14.304,SPEAKER_00
14.304,14.949,SPEAKER_01
14.949,17.037,SPEAKER_00
17.733,17.750,SPEAKER_01
17.750,21.265,SPEAKER_00
21.570,23.353,SPEAKER_00
26.273,29.380,SPEAKER_00
29.873,30.908,SPEAKER_00
31.027,32.301,SPEAKER_00
33.302,36.715,SPEAKER_00
36.885,47.377,SPEAKER_00
39.109,40.025,SPEAKER_01
41.723,42.810,SPEAKER_01
44.338,45.475,SPEAKER_01
47.869,52.691,SPEAKER_00
53.217,57.988,SPEAKER_00
58.480,60.722,SPEAKER_00
59.448,60.382,SPEAKER_01
61.452,61.944,SPEAKER_00
62.182,64.389,SPEAKER_00
65.764,68.056,SPEAKER_00
69.126,69.211,SPEAKER_01
69.211,72.436,SPEAKER_00
69.720,70.722,SPEAKER_01
72.895,74.542,SPEAKER_00
76.171,79.737,SPEAKER_00
79.244,79.703,SPEAKER_01
80.450,82.301,SPEAKER_00
81.740,81.859,SPEAKER_01
82.878,87.224,SPEAKER_00
88.141,89.856,SPEAKER_00
90.280,93.387,SPEAKER_00
94.694,98.158,SPEAKER_00
98.820,101.163,SPEAKER_00
102.063,105.934,SPEAKER_00
106.868,106.952,SPEAKER_00
106.969,107.003,SPEAKER_00
107.020,110.654,SPEAKER_00
109.686,109.754,SPEAKER_01
112.046,117.496,SPEAKER_00
112.165,112.453,SPEAKER_01
117.564,117.666,SPEAKER_00
117.666,119.007,SPEAKER_01
119.007,124.593,SPEAKER_00
125.509,133.387,SPEAKER_00
133.744,138.005,SPEAKER_00
134.151,134.474,SPEAKER_01
138.956,139.788,SPEAKER_01
142.351,142.385,SPEAKER_01
142.385,142.402,SPEAKER_00
142.402,142.997,SPEAKER_01
142.997,143.523,SPEAKER_00
143.523,143.591,SPEAKER_01
143.591,143.659,SPEAKER_00
144.032,147.394,SPEAKER_00
144.576,145.289,SPEAKER_01
148.684,150.297,SPEAKER_00
148.752,148.956,SPEAKER_01
150.840,158.192,SPEAKER_00
150.942,151.893,SPEAKER_01
158.616,169.007,SPEAKER_01
169.007,182.538,SPEAKER_00
182.912,185.849,SPEAKER_00
186.783,187.190,SPEAKER_01
187.190,187.224,SPEAKER_00
187.224,187.309,SPEAKER_01
187.309,187.326,SPEAKER_00
188.430,192.029,SPEAKER_00
192.606,193.913,SPEAKER_00
195.475,197.105,SPEAKER_00
198.039,199.058,SPEAKER_00
200.654,202.912,SPEAKER_00
203.455,203.879,SPEAKER_00
204.677,205.713,SPEAKER_00
205.713,205.781,SPEAKER_01
205.781,205.883,SPEAKER_00
205.883,205.934,SPEAKER_01
205.934,208.175,SPEAKER_00
209.041,210.008,SPEAKER_00
212.301,217.445,SPEAKER_00
218.175,223.523,SPEAKER_00
223.981,224.576,SPEAKER_00
226.138,228.582,SPEAKER_00
228.786,229.941,SPEAKER_00
230.331,230.348,SPEAKER_01
230.348,230.467,SPEAKER_00
230.467,230.671,SPEAKER_01
230.671,230.823,SPEAKER_00
230.823,230.840,SPEAKER_01
232.012,232.572,SPEAKER_00
232.742,235.306,SPEAKER_00
237.020,238.005,SPEAKER_00
238.616,243.710,SPEAKER_00
240.840,241.299,SPEAKER_01
241.706,242.148,SPEAKER_01
243.710,243.913,SPEAKER_01
243.913,244.559,SPEAKER_00
245.170,247.122,SPEAKER_00
247.683,247.852,SPEAKER_01
247.852,253.421,SPEAKER_00
253.829,259.465,SPEAKER_00
260.076,261.061,SPEAKER_00
261.163,264.372,SPEAKER_00
269.244,270.874,SPEAKER_00
271.248,273.149,SPEAKER_00
273.591,278.871,SPEAKER_00
277.632,278.141,SPEAKER_01
279.024,279.194,SPEAKER_01
279.194,279.771,SPEAKER_00
279.771,280.823,SPEAKER_01
281.112,281.604,SPEAKER_00
282.216,282.606,SPEAKER_00
284.610,285.170,SPEAKER_00
285.815,289.041,SPEAKER_00
290.280,291.520,SPEAKER_00
293.608,295.289,SPEAKER_00
296.341,300.891,SPEAKER_00
297.377,297.971,SPEAKER_01
301.418,301.859,SPEAKER_00
304.117,306.341,SPEAKER_00
306.715,307.801,SPEAKER_01
308.362,308.973,SPEAKER_00
310.042,310.891,SPEAKER_00
310.891,310.942,SPEAKER_01
312.963,314.474,SPEAKER_00
315.560,316.952,SPEAKER_00
318.090,320.127,SPEAKER_00
320.959,322.216,SPEAKER_00
323.014,324.966,SPEAKER_00
325.543,328.684,SPEAKER_00
326.562,327.088,SPEAKER_01
329.126,330.806,SPEAKER_00
331.553,331.893,SPEAKER_00
333.031,334.151,SPEAKER_00
335.374,335.917,SPEAKER_00
335.917,336.256,SPEAKER_01
337.343,339.380,SPEAKER_00
339.380,339.550,SPEAKER_01
339.550,339.601,SPEAKER_00
340.144,346.205,SPEAKER_00
347.258,349.975,SPEAKER_00
349.992,350.008,SPEAKER_00
350.246,358.192,SPEAKER_00
359.177,361.214,SPEAKER_00
361.808,365.985,SPEAKER_00
366.681,367.954,SPEAKER_00
369.363,374.168,SPEAKER_00
374.677,377.071,SPEAKER_00
377.954,378.379,SPEAKER_00
379.448,380.467,SPEAKER_00
380.501,385.645,SPEAKER_00
