start,end,speaker
1.842,3.048,SPEAKER_01
3.981,7.003,SPEAKER_01
7.699,9.295,SPEAKER_01
10.076,15.272,SPEAKER_01
16.409,18.175,SPEAKER_00
18.413,22.301,SPEAKER_00
23.200,25.119,SPEAKER_00
25.119,25.170,SPEAKER_01
25.526,26.783,SPEAKER_00
26.902,27.003,SPEAKER_00
27.003,29.312,SPEAKER_01
29.669,31.384,SPEAKER_01
31.604,32.980,SPEAKER_01
33.523,42.402,SPEAKER_00
42.793,43.557,SPEAKER_00
43.812,47.971,SPEAKER_01
48.820,61.944,SPEAKER_00
63.472,63.998,SPEAKER_00
63.998,64.525,SPEAKER_01
64.525,64.915,SPEAKER_00
65.407,66.188,SPEAKER_00
67.683,69.228,SPEAKER_01
69.890,75.492,SPEAKER_00
76.732,78.107,SPEAKER_01
77.869,77.954,SPEAKER_00
78.328,81.876,SPEAKER_01
82.572,94.491,SPEAKER_00
99.414,101.570,SPEAKER_01
102.402,103.200,SPEAKER_01
104.643,105.798,SPEAKER_01
106.783,107.156,SPEAKER_01
108.633,114.881,SPEAKER_01
114.881,120.603,SPEAKER_00
115.102,115.255,SPEAKER_01
121.061,121.553,SPEAKER_00
121.553,124.983,SPEAKER_01
125.713,135.832,SPEAKER_00
136.002,142.368,SPEAKER_01
142.470,143.812,SPEAKER_01
144.898,149.329,SPEAKER_01
150.263,164.372,SPEAKER_00
164.508,168.005,SPEAKER_00
168.005,169.143,SPEAKER_01
170.042,172.046,SPEAKER_01
174.932,176.630,SPEAKER_01
178.090,178.565,SPEAKER_00
179.669,186.545,SPEAKER_00
187.088,189.992,SPEAKER_00
190.501,190.959,SPEAKER_00
192.148,196.613,SPEAKER_01
196.919,204.830,SPEAKER_00
206.698,208.175,SPEAKER_01
208.820,209.278,SPEAKER_00
210.433,210.586,SPEAKER_01
210.671,210.705,SPEAKER_01
211.146,211.587,SPEAKER_01
212.063,214.542,SPEAKER_01
214.745,216.392,SPEAKER_01
217.241,231.503,SPEAKER_00
224.694,225.323,SPEAKER_01
232.419,232.929,SPEAKER_01
233.081,239.924,SPEAKER_01
240.501,240.857,SPEAKER_01
242.997,243.404,SPEAKER_01
243.930,249.720,SPEAKER_01
250.263,262.810,SPEAKER_00
263.625,264.253,SPEAKER_00
265.357,266.239,SPEAKER_01
266.902,269.244,SPEAKER_01
269.975,271.044,SPEAKER_01
271.672,271.706,SPEAKER_00
271.706,271.723,SPEAKER_01
271.723,271.995,SPEAKER_00
271.995,272.929,SPEAKER_01
274.168,274.185,SPEAKER_01
274.338,275.340,SPEAKER_01
275.951,276.817,SPEAKER_01
277.343,285.306,SPEAKER_01
286.171,286.222,SPEAKER_01
286.222,286.834,SPEAKER_00
286.834,286.986,SPEAKER_01
287.479,288.701,SPEAKER_00
290.552,291.655,SPEAKER_01
292.827,292.844,SPEAKER_01
292.844,292.997,SPEAKER_00
292.997,293.523,SPEAKER_01
293.676,294.694,SPEAKER_01
295.764,297.699,SPEAKER_01
298.599,299.194,SPEAKER_01
300.229,302.097,SPEAKER_01
302.742,303.472,SPEAKER_01
303.981,305.357,SPEAKER_01
306.171,306.409,SPEAKER_01
308.633,311.418,SPEAKER_01
312.572,321.044,SPEAKER_00
322.165,322.691,SPEAKER_00
322.963,323.761,SPEAKER_01
323.862,325.085,SPEAKER_01
326.070,332.997,SPEAKER_00
333.302,335.594,SPEAKER_00
335.764,337.003,SPEAKER_00
337.003,337.173,SPEAKER_01
337.173,337.360,SPEAKER_00
338.141,339.007,SPEAKER_00
339.007,340.993,SPEAKER_01
341.553,343.421,SPEAKER_01
345.000,346.766,SPEAKER_01
348.158,350.059,SPEAKER_01
350.739,351.893,SPEAKER_00
353.251,356.443,SPEAKER_01
357.003,360.637,SPEAKER_00
361.180,361.604,SPEAKER_00
363.081,364.270,SPEAKER_01
365.085,373.998,SPEAKER_00
374.406,374.508,SPEAKER_00
374.508,378.497,SPEAKER_01
378.820,379.346,SPEAKER_01
379.499,382.080,SPEAKER_01
382.776,383.625,SPEAKER_01
383.710,387.903,SPEAKER_01
388.430,390.229,SPEAKER_01
390.552,391.808,SPEAKER_01
392.080,396.715,SPEAKER_01
397.020,397.343,SPEAKER_01
397.903,400.450,SPEAKER_01
401.520,406.002,SPEAKER_01
406.324,408.209,SPEAKER_01
408.786,412.351,SPEAKER_01
409.516,409.754,SPEAKER_00
412.827,414.762,SPEAKER_01
415.000,416.426,SPEAKER_01
416.851,421.112,SPEAKER_01
421.621,423.404,SPEAKER_01
423.829,425.900,SPEAKER_01
426.019,429.584,SPEAKER_01
430.076,431.163,SPEAKER_01
431.587,433.251,SPEAKER_01
433.896,437.547,SPEAKER_01
437.581,438.616,SPEAKER_01
439.482,440.450,SPEAKER_01
441.231,452.301,SPEAKER_01
452.895,454.032,SPEAKER_01
454.270,459.143,SPEAKER_01
459.482,460.654,SPEAKER_01
461.095,462.284,SPEAKER_01
462.521,462.912,SPEAKER_01
463.014,465.662,SPEAKER_01
466.239,468.497,SPEAKER_01
468.871,473.149,SPEAKER_01
473.370,476.868,SPEAKER_01
477.054,478.616,SPEAKER_01
478.769,481.367,SPEAKER_01
481.927,482.929,SPEAKER_01
483.574,485.407,SPEAKER_01
485.526,488.990,SPEAKER_01
489.397,491.757,SPEAKER_01
492.080,495.323,SPEAKER_01
495.696,496.273,SPEAKER_01
495.883,496.154,SPEAKER_00
496.562,497.801,SPEAKER_01
498.260,503.048,SPEAKER_01
503.862,509.601,SPEAKER_01
509.856,513.659,SPEAKER_01
513.778,515.424,SPEAKER_01
515.815,517.699,SPEAKER_01
518.243,518.667,SPEAKER_01
518.956,521.163,SPEAKER_01
521.435,526.019,SPEAKER_01
526.205,529.992,SPEAKER_01
530.297,537.564,SPEAKER_01
537.835,539.380,SPEAKER_01
539.822,547.241,SPEAKER_01
547.581,559.805,SPEAKER_01
560.246,568.718,SPEAKER_01
569.024,571.995,SPEAKER_01
571.995,572.912,SPEAKER_00
572.912,573.183,SPEAKER_01
573.183,573.200,SPEAKER_00
573.200,574.151,SPEAKER_01
573.319,574.202,SPEAKER_00
574.202,575.390,SPEAKER_01
574.321,575.000,SPEAKER_00
576.053,577.003,SPEAKER_00
577.105,577.666,SPEAKER_00
