start,end,speaker
1.842,3.031,SPEAKER_00
3.998,4.423,SPEAKER_00
4.813,6.969,SPEAKER_00
7.767,9.177,SPEAKER_00
10.110,10.484,SPEAKER_00
10.671,15.051,SPEAKER_00
16.426,18.107,SPEAKER_01
18.514,22.199,SPEAKER_01
23.268,24.117,SPEAKER_01
24.372,25.000,SPEAKER_01
25.594,26.002,SPEAKER_01
26.002,26.681,SPEAKER_00
27.003,29.126,SPEAKER_00
29.737,29.992,SPEAKER_00
29.992,30.008,SPEAKER_01
30.008,30.365,SPEAKER_00
30.569,31.231,SPEAKER_00
31.689,32.844,SPEAKER_00
33.557,42.114,SPEAKER_01
42.674,43.523,SPEAKER_01
43.829,47.937,SPEAKER_00
48.837,52.742,SPEAKER_01
53.421,55.628,SPEAKER_01
55.781,56.935,SPEAKER_01
57.547,58.005,SPEAKER_01
58.005,58.752,SPEAKER_00
58.752,58.803,SPEAKER_01
58.803,58.820,SPEAKER_00
59.567,62.063,SPEAKER_01
62.199,63.217,SPEAKER_01
63.455,64.881,SPEAKER_00
65.424,66.205,SPEAKER_01
67.173,67.581,SPEAKER_00
67.615,69.160,SPEAKER_00
69.890,71.384,SPEAKER_01
71.689,75.458,SPEAKER_01
76.749,78.073,SPEAKER_00
78.345,81.825,SPEAKER_00
82.589,96.443,SPEAKER_01
96.528,96.664,SPEAKER_01
96.664,97.309,SPEAKER_00
97.886,98.667,SPEAKER_00
99.414,101.553,SPEAKER_00
102.419,103.048,SPEAKER_00
104.236,104.304,SPEAKER_00
104.626,105.713,SPEAKER_00
106.800,107.088,SPEAKER_00
108.056,108.362,SPEAKER_00
108.633,113.676,SPEAKER_00
113.778,113.829,SPEAKER_00
113.829,113.896,SPEAKER_01
113.896,113.998,SPEAKER_00
114.066,120.501,SPEAKER_01
121.095,121.537,SPEAKER_01
121.537,121.570,SPEAKER_00
121.825,124.915,SPEAKER_00
125.730,134.423,SPEAKER_01
135.017,135.679,SPEAKER_01
136.002,136.443,SPEAKER_00
136.800,142.216,SPEAKER_00
140.297,140.637,SPEAKER_01
142.606,143.744,SPEAKER_01
144.236,144.728,SPEAKER_00
144.915,149.363,SPEAKER_00
150.263,154.525,SPEAKER_01
155.000,164.032,SPEAKER_01
164.677,165.611,SPEAKER_01
165.611,165.662,SPEAKER_00
165.662,165.730,SPEAKER_01
165.900,165.951,SPEAKER_01
165.951,169.075,SPEAKER_00
170.042,172.233,SPEAKER_01
174.915,176.630,SPEAKER_00
178.090,178.548,SPEAKER_01
179.669,182.250,SPEAKER_01
182.351,185.815,SPEAKER_01
185.849,186.392,SPEAKER_01
186.902,189.856,SPEAKER_01
190.518,190.840,SPEAKER_01
191.469,191.621,SPEAKER_01
192.148,196.545,SPEAKER_00
194.202,194.253,SPEAKER_01
194.270,194.287,SPEAKER_01
196.952,199.312,SPEAKER_01
199.839,204.779,SPEAKER_01
206.171,206.579,SPEAKER_00
206.698,208.141,SPEAKER_00
208.837,209.228,SPEAKER_01
210.399,210.806,SPEAKER_00
211.163,211.520,SPEAKER_00
212.114,214.491,SPEAKER_00
215.153,216.290,SPEAKER_00
217.241,222.895,SPEAKER_01
