file,inclusive_cov,inclusive_omit,inclusive_ref,inclusive_uns,terse_cov,terse_omit,terse_ref,terse_uns
noisy_transcripts/canary-qwen-2.5b/hospital_maternity_ward/snr_13/day3_consultation09.txt,28,1,29,1,25,0,25,0
clean_transcripts/omniasr-llm-7b-v2/day1_consultation01.txt,35,0,35,0,32,1,33,0
noisy_transcripts/canary-qwen-2.5b/hospital_reception/snr_13/day4_consultation04.txt,33,0,33,0,32,0,32,0
noisy_transcripts/omniasr-ctc-7b-v2/hospital_reception/snr_-2/day4_consultation02.txt,25,0,25,2,21,2,23,3
noisy_transcripts/elevenlabs-scribe/hospital_maternity_ward/snr_-2/day1_consultation02.txt,29,0,29,1,25,0,25,1
noisy_transcripts/cohere-transcribe-03-2026/hospital_corridor/snr_13/day1_consultation01.txt,35,0,35,0,33,0,33,0
noisy_transcripts/canary-qwen-2.5b/outdoor_traffic/snr_13/day4_consultation04.txt,30,0,30,0,30,0,30,0
noisy_transcripts/omniasr-llm-7b-v2/hospital_maternity_ward/snr_8/day5_consultation03.txt,29,0,29,0,31,0,31,0
noisy_transcripts/omniasr-ctc-7b-v2/outdoor_traffic/snr_8/day4_consultation04.txt,26,1,27,1,26,3,29,1
noisy_transcripts/whisper-large-v3-turbo/hospital_reception/snr_8/day3_consultation06.txt,25,0,25,0,18,0,18,0
noisy_transcripts/omniasr-llm-7b-v2/outdoor_traffic/snr_13/day4_consultation02.txt,35,0,35,0,30,2,32,0
noisy_transcripts/cohere-transcribe-03-2026/outdoor_traffic/snr_8/day5_consultation06.txt,33,1,34,1,36,1,37,0
noisy_transcripts/canary-qwen-2.5b/hospital_reception/snr_13/day1_consultation15.txt,32,0,32,0,25,1,26,0
noisy_transcripts/whisper-large-v3-turbo/outdoor_traffic/snr_8/day1_consultation07.txt,22,0,22,0,21,0,21,0
noisy_transcripts/canary-qwen-2.5b/outdoor_traffic/snr_13/day1_consultation01.txt,32,0,32,0,30,0,30,0
clean_transcripts/assemblyai-universal2/day4_consultation07.txt,28,0,28,0,30,1,31,0
noisy_transcripts/parakeet-tdt-0.6b-v3/outdoor_traffic/snr_13/day3_consultation01.txt,25,0,25,0,18,0,18,0
noisy_transcripts/elevenlabs-scribe/hospital_maternity_ward/snr_8/day3_consultation10.txt,26,0,26,2,25,0,25,1
noisy_transcripts/parakeet-tdt-0.6b-v3/hospital_reception/snr_8/day1_consultation07.txt,22,0,22,0,21,0,21,0
noisy_transcripts/omniasr-llm-7b-v2/hospital_corridor/snr_-2/day1_consultation05.txt,24,1,25,1,27,2,29,1
noisy_transcripts/deepgram-nova3/hospital_corridor/snr_-2/day5_consultation06.txt,38,0,38,0,31,0,31,0
noisy_transcripts/canary-qwen-2.5b/hospital_maternity_ward/snr_13/day2_consultation07.txt,33,0,33,0,33,2,35,1
noisy_transcripts/omniasr-ctc-7b-v2/hospital_corridor/snr_13/day1_consultation01.txt,34,0,34,1,33,0,33,0
clean_transcripts/omniasr-llm-7b-v2/day5_consultation01.txt,34,0,34,0,37,0,37,0
noisy_transcripts/elevenlabs-scribe/hospital_reception/snr_-2/day1_consultation07.txt,14,1,15,0,16,2,18,4
noisy_transcripts/canary-qwen-2.5b/hospital_corridor/snr_-2/day1_consultation15.txt,28,0,28,0,27,0,27,1
noisy_transcripts/assemblyai-universal2/hospital_reception/snr_-2/day5_consultation01.txt,32,0,32,0,31,0,31,1
noisy_transcripts/whisper-large-v3-turbo/hospital_corridor/snr_8/day4_consultation07.txt,30,0,30,0,32,0,32,0
noisy_transcripts/omniasr-llm-7b-v2/outdoor_traffic/snr_8/day5_consultation11.txt,35,2,37,0,23,3,26,0
noisy_transcripts/deepgram-nova3/outdoor_traffic/snr_-2/day5_consultation03.txt,31,0,31,0,28,0,28,0
noisy_transcripts/cohere-transcribe-03-2026/hospital_maternity_ward/snr_8/day1_consultation01.txt,33,0,33,0,30,0,30,0
noisy_transcripts/deepgram-nova3/hospital_maternity_ward/snr_13/day4_consultation02.txt,45,0,45,0,32,1,33,0
noisy_transcripts/whisper-large-v3-turbo/hospital_reception/snr_-2/day5_consultation01.txt,28,0,28,0,27,0,27,2
noisy_transcripts/omniasr-llm-7b-v2/outdoor_traffic/snr_13/day2_consultation07.txt,30,0,30,0,26,2,28,1
noisy_transcripts/granite-speech-3.3-2b/hospital_reception/snr_13/day1_consultation05.txt,43,0,43,0,42,0,42,0
noisy_transcripts/deepgram-nova3/outdoor_traffic/snr_13/day2_consultation06.txt,31,0,31,0,33,0,33,0
noisy_transcripts/deepgram-nova3/hospital_corridor/snr_8/day4_consultation07.txt,33,0,33,1,27,2,29,0
noisy_transcripts/granite-speech-3.3-2b/hospital_reception/snr_-2/day2_consultation10.txt,20,0,20,1,15,2,17,2
noisy_transcripts/deepgram-nova3/hospital_maternity_ward/snr_8/day3_consultation10.txt,31,0,31,0,20,0,20,1
noisy_transcripts/cohere-transcribe-03-2026/hospital_reception/snr_13/day3_consultation06.txt,23,0,23,0,20,1,21,0
