consult,llm,asr,env,snr,n_om,n_com,N1,N2,N3,N4,S,tot
day1_consultation07,google_gemini-3.1-pro-preview,granite-speech-3.3-2b,clean,clean,5,4,0,1,6,2,17,9
day3_consultation04,anthropic_claude-sonnet-4.6,omniasr-llm-7b-v2,clean,clean,6,1,0,1,2,4,11,7
day2_consultation10,openai_gpt-5.2,canary-qwen-2.5b,clean,clean,4,1,0,1,1,3,8,5
day2_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,clean,clean,6,0,0,0,4,2,10,6
day1_consultation07,google_gemini-3.1-pro-preview,canary-qwen-2.5b,clean,clean,2,3,0,1,2,2,9,5
day2_consultation10,openai_gpt-5.2,omniasr-llm-7b-v2,clean,clean,1,2,0,0,2,1,5,3
day1_consultation05,openai_gpt-5.2,elevenlabs-scribe,clean,clean,5,0,0,0,1,4,6,5
day2_consultation07,openai_gpt-5.2,deepgram-nova3,clean,clean,7,0,0,0,6,1,13,7
day2_consultation06,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,clean,clean,2,0,0,0,1,1,3,2
day1_consultation05,openai_gpt-5.2,assemblyai-universal2,clean,clean,4,0,0,1,1,2,7,4
day1_consultation07,google_gemini-3.1-pro-preview,whisper-large-v3-turbo,clean,clean,2,3,0,1,3,1,10,5
day1_consultation01,anthropic_claude-sonnet-4.6,granite-speech-3.3-2b,clean,clean,0,0,0,0,0,0,0,0
day2_consultation10,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,clean,clean,1,0,0,0,0,1,1,1
day2_consultation06,anthropic_claude-sonnet-4.6,elevenlabs-scribe,clean,clean,4,0,0,0,1,3,5,4
day3_consultation06,anthropic_claude-sonnet-4.6,assemblyai-universal2,clean,clean,0,0,0,0,0,0,0,0
day1_consultation05,anthropic_claude-sonnet-4.6,granite-speech-3.3-2b,clean,clean,4,3,0,1,2,4,11,7
day3_consultation01,openai_gpt-5.2,whisper-large-v3-turbo,clean,clean,5,0,0,1,2,2,9,5
day1_consultation01,anthropic_claude-sonnet-4.6,omniasr-llm-7b-v2,clean,clean,2,1,0,1,1,1,6,3
day1_consultation07,anthropic_claude-sonnet-4.6,omniasr-llm-7b-v2,clean,clean,3,1,0,1,2,1,8,4
day1_consultation15,openai_gpt-5.2,cohere-transcribe-03-2026,clean,clean,3,0,0,0,2,1,5,3
day1_consultation07,openai_gpt-5.2,granite-speech-3.3-2b,clean,clean,6,0,0,1,3,2,11,6
day1_consultation07,anthropic_claude-sonnet-4.6,granite-speech-3.3-2b,clean,clean,7,0,0,1,3,3,12,7
day3_consultation04,anthropic_claude-sonnet-4.6,assemblyai-universal2,clean,clean,4,1,0,0,3,2,8,5
day2_consultation06,google_gemini-3.1-pro-preview,canary-qwen-2.5b,clean,clean,2,1,0,1,1,1,6,3
day1_consultation07,openai_gpt-5.2,elevenlabs-scribe,clean,clean,5,0,0,2,2,1,11,5
day3_consultation01,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,clean,clean,2,4,0,1,4,1,12,6
day1_consultation05,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,clean,clean,2,4,0,3,1,2,13,6
day3_consultation04,openai_gpt-5.2,cohere-transcribe-03-2026,clean,clean,8,0,0,0,5,3,13,8
day2_consultation06,openai_gpt-5.2,deepgram-nova3,clean,clean,2,0,0,0,0,2,2,2
day3_consultation06,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,clean,clean,2,2,0,0,3,1,7,4
day2_consultation07,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,clean,clean,7,4,0,1,7,3,20,11
day3_consultation04,google_gemini-3.1-pro-preview,assemblyai-universal2,clean,clean,6,0,0,0,6,0,12,6
day1_consultation05,openai_gpt-5.2,whisper-large-v3-turbo,clean,clean,3,0,0,0,2,1,5,3
day1_consultation02,openai_gpt-5.2,assemblyai-universal2,clean,clean,4,2,0,0,2,4,8,6
day3_consultation06,openai_gpt-5.2,canary-qwen-2.5b,clean,clean,1,1,0,0,1,1,3,2
day1_consultation15,openai_gpt-5.2,canary-qwen-2.5b,clean,clean,4,1,0,0,3,2,8,5
day1_consultation05,google_gemini-3.1-pro-preview,assemblyai-universal2,clean,clean,1,0,0,0,1,0,2,1
day2_consultation06,google_gemini-3.1-pro-preview,elevenlabs-scribe,clean,clean,2,1,0,0,2,1,5,3
day1_consultation07,openai_gpt-5.2,cohere-transcribe-03-2026,clean,clean,4,0,0,1,2,1,8,4
day2_consultation07,google_gemini-3.1-pro-preview,cohere-transcribe-03-2026,clean,clean,7,4,0,0,8,3,19,11
day1_consultation02,anthropic_claude-sonnet-4.6,cohere-transcribe-03-2026,clean,clean,3,0,0,0,3,0,6,3
day2_consultation07,openai_gpt-5.2,omniasr-llm-7b-v2,clean,clean,6,2,0,0,3,5,11,8
day1_consultation15,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,clean,clean,2,0,0,0,1,1,3,2
day1_consultation01,openai_gpt-5.2,elevenlabs-scribe,clean,clean,2,0,0,1,1,0,5,2
day2_consultation06,openai_gpt-5.2,granite-speech-3.3-2b,clean,clean,4,1,0,1,4,0,11,5
day1_consultation02,openai_gpt-5.2,parakeet-tdt-0.6b-v3,clean,clean,6,1,0,0,2,5,9,7
day2_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,clean,clean,4,3,0,2,4,1,15,7
day3_consultation01,anthropic_claude-sonnet-4.6,canary-qwen-2.5b,clean,clean,4,1,0,3,0,2,11,5
day3_consultation01,anthropic_claude-sonnet-4.6,cohere-transcribe-03-2026,clean,clean,4,5,0,2,4,3,17,9
day2_consultation07,anthropic_claude-sonnet-4.6,deepgram-nova3,clean,clean,6,2,0,0,6,2,14,8
day3_consultation01,openai_gpt-5.2,deepgram-nova3,clean,clean,2,1,0,1,2,0,7,3
day2_consultation06,google_gemini-3.1-pro-preview,granite-speech-3.3-2b,clean,clean,2,0,0,0,1,1,3,2
day1_consultation15,openai_gpt-5.2,assemblyai-universal2,clean,clean,2,1,0,1,1,1,6,3
day1_consultation05,anthropic_claude-sonnet-4.6,elevenlabs-scribe,clean,clean,3,3,0,2,2,2,12,6
day3_consultation01,openai_gpt-5.2,canary-qwen-2.5b,clean,clean,3,1,0,2,2,0,10,4
day1_consultation02,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,clean,clean,2,0,0,0,1,1,3,2
day3_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,clean,clean,4,3,0,3,1,3,14,7
day1_consultation05,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,clean,clean,3,3,0,2,1,3,11,6
day2_consultation06,anthropic_claude-sonnet-4.6,granite-speech-3.3-2b,clean,clean,3,4,0,0,5,2,12,7
day3_consultation01,openai_gpt-5.2,parakeet-tdt-0.6b-v3,clean,clean,3,0,0,1,1,1,6,3
day3_consultation01,openai_gpt-5.2,elevenlabs-scribe,clean,clean,3,0,0,0,2,1,5,3
day2_consultation10,openai_gpt-5.2,whisper-large-v3-turbo,clean,clean,3,0,0,0,1,2,4,3
day2_consultation10,openai_gpt-5.2,cohere-transcribe-03-2026,clean,clean,3,0,0,0,2,1,5,3
day1_consultation01,google_gemini-3.1-pro-preview,granite-speech-3.3-2b,clean,clean,3,3,0,3,1,2,13,6
day3_consultation06,google_gemini-3.1-pro-preview,granite-speech-3.3-2b,clean,clean,2,0,0,0,1,1,3,2
day3_consultation06,anthropic_claude-sonnet-4.6,elevenlabs-scribe,clean,clean,0,2,0,0,0,2,2,2
day3_consultation04,google_gemini-3.1-pro-preview,cohere-transcribe-03-2026,clean,clean,4,0,0,0,3,1,7,4
day3_consultation01,anthropic_claude-sonnet-4.6,granite-speech-3.3-2b,clean,clean,4,3,0,1,2,4,11,7
day1_consultation02,openai_gpt-5.2,omniasr-llm-7b-v2,clean,clean,4,0,0,0,2,2,6,4
day1_consultation02,anthropic_claude-sonnet-4.6,assemblyai-universal2,clean,clean,4,1,0,1,1,3,8,5
day2_consultation07,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,clean,clean,7,1,0,1,5,2,15,8
day2_consultation07,anthropic_claude-sonnet-4.6,elevenlabs-scribe,clean,clean,6,1,0,0,5,2,12,7
day1_consultation07,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,clean,clean,2,1,0,2,0,1,7,3
day2_consultation07,openai_gpt-5.2,parakeet-tdt-0.6b-v3,clean,clean,7,0,0,0,4,3,11,7
day1_consultation01,google_gemini-3.1-pro-preview,canary-qwen-2.5b,clean,clean,4,0,0,1,2,1,8,4
day3_consultation04,openai_gpt-5.2,granite-speech-3.3-2b,clean,clean,6,1,0,0,2,5,9,7
day1_consultation05,google_gemini-3.1-pro-preview,cohere-transcribe-03-2026,clean,clean,1,0,0,0,1,0,2,1
day1_consultation15,google_gemini-3.1-pro-preview,assemblyai-universal2,clean,clean,1,0,0,0,1,0,2,1
day2_consultation07,openai_gpt-5.2,granite-speech-3.3-2b,clean,clean,5,0,0,2,1,2,10,5
day1_consultation05,anthropic_claude-sonnet-4.6,deepgram-nova3,clean,clean,2,2,0,0,2,2,6,4
day2_consultation07,google_gemini-3.1-pro-preview,assemblyai-universal2,clean,clean,8,2,0,3,4,3,20,10
day1_consultation01,openai_gpt-5.2,granite-speech-3.3-2b,clean,clean,2,0,0,1,1,0,5,2
day1_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,clean,clean,2,5,0,4,2,1,17,7
day1_consultation15,anthropic_claude-sonnet-4.6,granite-speech-3.3-2b,clean,clean,3,0,0,0,1,2,4,3
day1_consultation07,google_gemini-3.1-pro-preview,cohere-transcribe-03-2026,clean,clean,3,0,0,1,1,1,6,3
day3_consultation06,anthropic_claude-sonnet-4.6,canary-qwen-2.5b,clean,clean,1,5,0,1,3,2,11,6
day1_consultation07,anthropic_claude-sonnet-4.6,canary-qwen-2.5b,clean,clean,3,3,0,1,3,2,11,6
day3_consultation06,google_gemini-3.1-pro-preview,cohere-transcribe-03-2026,clean,clean,1,2,0,0,1,2,4,3
day1_consultation15,google_gemini-3.1-pro-preview,cohere-transcribe-03-2026,clean,clean,3,0,0,0,2,1,5,3
day1_consultation02,google_gemini-3.1-pro-preview,whisper-large-v3-turbo,clean,clean,5,0,0,1,2,2,9,5
day2_consultation10,anthropic_claude-sonnet-4.6,canary-qwen-2.5b,clean,clean,2,0,0,0,1,1,3,2
day3_consultation06,openai_gpt-5.2,assemblyai-universal2,clean,clean,0,0,0,0,0,0,0,0
day1_consultation07,google_gemini-3.1-pro-preview,deepgram-nova3,clean,clean,2,9,0,1,9,1,22,11
day1_consultation05,google_gemini-3.1-pro-preview,canary-qwen-2.5b,clean,clean,4,0,0,0,4,0,8,4
day3_consultation06,google_gemini-3.1-pro-preview,deepgram-nova3,clean,clean,0,0,0,0,0,0,0,0
day2_consultation10,anthropic_claude-sonnet-4.6,omniasr-llm-7b-v2,clean,clean,0,0,0,0,0,0,0,0
day2_consultation10,google_gemini-3.1-pro-preview,whisper-large-v3-turbo,clean,clean,0,0,0,0,0,0,0,0
day2_consultation10,google_gemini-3.1-pro-preview,deepgram-nova3,clean,clean,1,0,0,0,0,1,1,1
day1_consultation07,openai_gpt-5.2,deepgram-nova3,clean,clean,4,0,0,1,2,1,8,4
day1_consultation05,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,clean,clean,4,0,0,0,3,1,7,4
day2_consultation10,openai_gpt-5.2,granite-speech-3.3-2b,clean,clean,4,0,0,0,1,3,5,4
day1_consultation02,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,clean,clean,6,1,0,1,3,3,12,7
day2_consultation06,openai_gpt-5.2,elevenlabs-scribe,clean,clean,4,0,0,0,3,1,7,4
day1_consultation02,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,clean,clean,4,2,0,0,3,3,9,6
day1_consultation15,anthropic_claude-sonnet-4.6,cohere-transcribe-03-2026,clean,clean,1,0,0,0,0,1,1,1
day3_consultation01,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,clean,clean,3,2,0,0,3,2,8,5
day1_consultation05,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,clean,clean,3,0,0,0,2,1,5,3
day1_consultation01,google_gemini-3.1-pro-preview,cohere-transcribe-03-2026,clean,clean,4,0,0,0,3,1,7,4
day3_consultation06,google_gemini-3.1-pro-preview,whisper-large-v3-turbo,clean,clean,1,1,0,0,2,0,4,2
day1_consultation01,openai_gpt-5.2,canary-qwen-2.5b,clean,clean,2,2,0,0,3,1,7,4
day2_consultation07,anthropic_claude-sonnet-4.6,canary-qwen-2.5b,clean,clean,5,4,0,3,2,4,17,9
day1_consultation07,openai_gpt-5.2,canary-qwen-2.5b,clean,clean,2,0,0,1,0,1,4,2
day1_consultation15,openai_gpt-5.2,omniasr-llm-7b-v2,clean,clean,6,0,0,0,5,1,11,6
day3_consultation04,google_gemini-3.1-pro-preview,elevenlabs-scribe,clean,clean,6,0,0,0,4,2,10,6
day3_consultation01,google_gemini-3.1-pro-preview,assemblyai-universal2,clean,clean,1,0,0,0,1,0,2,1
day1_consultation05,openai_gpt-5.2,deepgram-nova3,clean,clean,2,0,0,0,1,1,3,2
day1_consultation01,google_gemini-3.1-pro-preview,elevenlabs-scribe,clean,clean,5,0,0,1,2,2,9,5
